,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 19:33:33,,,1293994118796832768,Check out the https://t.co/XNXHe8HjQX trading community on Discord -with 80k other members .… https://t.co/iQ9zn95fmV
1,2020-08-13 19:32:56,zurtie + w6ter,,1293993963251052544,@ilyjad3 @stfnh @sadSimpyy cuz ur annoying aal quit the comm
2,2020-08-13 19:30:59,Germany France Spain Italy AEX,,1293993473390129155,Why Gambling Stocks Jumped on Thursday | Nasdaq https://t.co/RCt7dABspP | $SPY $BABA $DVAX $ACB $OSTK $TRIL $LK… https://t.co/OHDuGqpu4s
3,2020-08-13 19:28:28,"Germantown, Tennessee",,1293992837776908291,Most active on Thurs. - $IGC $NTN $AAL $SRNE $AMD $NIO $BAC $AAPL $GE $MU $SWN $F $UAL $PLUG $FAT $IBIO $PCG $NKLA… https://t.co/auLmC8EmD4
4,2020-08-13 19:26:55,Germany France Spain Italy AEX,,1293992448721657856,Singapore-developed COVID-19 vaccine injected into first group of volunteers – Kashmir Reader… https://t.co/vFEx9NulbU
5,2020-08-13 19:25:40,Germany France Spain Italy AEX,,1293992135000240128,AstraZeneca set to start making 400 million COVID-19 vaccines for Latam  - British Asia News… https://t.co/hs64vOjApJ
6,2020-08-13 19:25:24,,,1293992067144855553,@AAL________ No action no game!
7,2020-08-13 19:24:30,Germany France Spain Italy AEX,,1293991841617137666,Novavax adds new COVID-19 vaccine manufacturing partner https://t.co/x2T3Yfuz4c | $SPY $BABA $DVAX $ACB $OSTK $TRIL… https://t.co/nFKr6hjgcD
8,2020-08-13 19:24:21,,,1293991800248635394,"RT @diamondoptions: 75¢. 
That’s how much our Service costs a day. If you don’t like it you can cancel at anytime. That’s how much we belie…"
9,2020-08-13 19:24:07,Germany France Spain Italy AEX,,1293991744967790596,"EU reserves 400 million doses of potential Johnson &amp; Johnson coronavirus vaccine, Europe News &amp; Top Stories - The S… https://t.co/qtjFVfYxfT"
10,2020-08-13 19:23:46,,,1293991656920952832,@ExpressNewsPK aal e saud are actually aal e yahooud...
11,2020-08-13 19:23:28,United States,,1293991578655002625,"I made over70k  in the last7 months. Why not you?
Click: https://t.co/waJXnpA7xo

$SBUX $PRVB $GLD $DAL $JDST $OSTK… https://t.co/B3t565s9T9"
12,2020-08-13 19:23:11,"Chicago, IL",,1293991510258733057,"✅Day+Swing+Options Trade Alerts
✅Educational Classes/Mentoring
✅Group Events/Competitions
✅Watchlists &amp; More!
✅~10k… https://t.co/LWrenH2Kvi"
13,2020-08-13 19:22:49,United Arab Emirates,,1293991417895956482,RT @_Patriotic145: @Nadirbalochs @AdvZehri @BaniBaloch2 @MohitSh29551143 @Qta_Balochistan @sadia7214 @aal_fari @AroojAurangzaib @JogezaiJaw…
14,2020-08-13 19:21:52,Indonesia,,1293991176442245120,"“Allaah (Alone) is Sufficient for us, and He is the Best Disposer of Affairs (for us).”
“The Quran Aal ‘Imraan 3:171″"
15,2020-08-13 19:21:16,,,1293991026307342343,"RT @AyvidTraders: I made over70k  in the last7 months. Why not you?
Click: https://t.co/UJyQbHGigX

$SBUX $PRVB $GLD $DAL $JDST $OSTK $PCG…"
16,2020-08-13 19:20:17,,,1293990780399423491,"RT @EthenGarg: Winning list alerts with Analysis
Check it out
https://t.co/fXQDG8ydAr
20. Days trial, Get IT NOW!

$SPY $QQQ $AMZN $NVDA $B…"
17,2020-08-13 19:20:00,,,1293990706378309634,"I made over70k  in the last7 months. Why not you?
Click: https://t.co/UJyQbHGigX

$SBUX $PRVB $GLD $DAL $JDST $OSTK… https://t.co/JR5KIv5Z9H"
18,2020-08-13 19:19:20,,,1293990539994570756,"RT @diamondoptions: We have given out the following plays this week:
$FSLY (+300%)
$OSTK (+159%)
$WMT (+81%)
$SPOT (+89%)
$TLRY (+70%)
$GLD…"
19,2020-08-13 19:19:17,,,1293990527541665795,"RT @diamondoptions: 75¢. 
That’s how much our Service costs a day. If you don’t like it you can cancel at anytime. That’s how much we belie…"
20,2020-08-13 19:16:33,United States,,1293989840371949568,"Biggest trading community (79k+ members) &amp; 20 days free trial available… https://t.co/waJXnpA7xo

$SPY $QQQ $BA… https://t.co/DdPSufuz8m"
21,2020-08-13 19:14:37,On your mind,,1293989354373885952,@GhadiC Shu bshil hek “don’t cry” aal electric after a long ass day🤤
22,2020-08-13 19:14:15,👇 MONEY MAKING GUIDES ,,1293989259884388352,RT @AAL________: Choose courage overcomfort.
23,2020-08-13 19:14:03,👇 MONEY MAKING GUIDES ,,1293989211280822275,"RT @AAL________: “Question of the day”

What is your age ?

I'm 18."
24,2020-08-13 19:11:40,,,1293988608647532550,"Most active NASDAQ listed stocks so far today

Dollar Volume: Tesla $TSLA Apple $AAPL Amazon $AMZN $QQQ $AMD Micros… https://t.co/ulq3Ju8GH6"
25,2020-08-13 19:10:09,,,1293988228362579980,"Thu Aug 13th
Most active #stocks this afternoon:

$SRNE: +5.2%
$CSCO: -11.6%
$HTBX: +18.9%
$AMD: -0.9%
$BAC: -1.8%… https://t.co/Cv41wFX2BT"
