,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 09:31:36,Leeds & Edinburgh,,1293842630162423808,"""The authors contend that the impact of targeted drugs, specifically those tailored to attack mutations of the EGFR… https://t.co/7wI1sldAZR"
1,2020-08-13 09:30:34,,,1293842372963504134,Miss the times when all I needed to make copies of this beauty was to leave and then rejoin the server while tradin… https://t.co/KfDb4zCelc
2,2020-08-13 09:28:04,"Virginia, USA",,1293841741993435142,Self Tanner for the Girl That Doesn't Tan: Isle of Paradise Tanning Drops... https://t.co/nexRAidncU on @bloglovin
3,2020-08-13 08:49:22,After 40 away years now FRG,,1293832002857308162,RT @brownbeansprout: Newer ALK+ targeted therapy prolongs life for #lungcancer patients #lcsm https://t.co/qvFD6lGgrz
4,2020-08-13 08:45:25,"Hørsholm, Danmark",,1293831010921197568,"ALK/CFO: Despite the pandemic, results for the first half of 2020 are encouraging and the company is strong. Read t… https://t.co/b0r1HKqinS"
5,2020-08-13 08:42:37,"Cairo, Egypt",,1293830302951968768,@fl0weri @yufi_itti @yufi_1 @1lfi_ @lft1j @t1itt @1Ilj8 @1floi @2floi @0ll0y @hildl7 @vi_p_i @zv3qz @_6cnc @660_u… https://t.co/aX9MuNvQVh
6,2020-08-13 08:37:37,,,1293829047173046272,RT @__oneinaMILLY: I be wanting people to forget about me so bad😂😂😂😭😩 just act like I’m dead &amp; leave me alone pls!
7,2020-08-13 08:22:52,وطــن النهـــار 🇰🇼,,1293825335000289281,Morning  🙇‍♀️💜 https://t.co/hluwdbWhjt
8,2020-08-13 08:12:58,𝑽𝒂𝒍𝒆𝒏𝒕𝒊𝒏𝒆’𝒔,,1293822845068304385,"RT @holdonjamesx: ₊ #000, 🕷️

                 ˓ $James ˒ ₍ 𝖏eno ₎ 
       00𝖐𝖎𝖉𝖘  ᚐ  rt╺  𝖋oll, 𝓛et's 𝖙alk ! 

ยพท ลฟตท 🕸 https://t.co/6Xi…"
9,2020-08-13 07:57:47,,,1293819023361060864,"RT @holdonjamesx: ₊ #000, 🕷️

                 ˓ $James ˒ ₍ 𝖏eno ₎ 
       00𝖐𝖎𝖉𝖘  ᚐ  rt╺  𝖋oll, 𝓛et's 𝖙alk ! 

ยพท ลฟตท 🕸 https://t.co/6Xi…"
10,2020-08-13 07:51:38,"Reno, NV",,1293817473762910213,"Potential community onc clinic day pt/ medication list in 2020- 2021
Encorafenib- Melanoma/ CRC
Ensartinib -ALK NSC… https://t.co/lDr7kddPUP"
