,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 17:32:31,"Brussels, Belgium📍🇧🇪",,1293963659052548096,RT @nymatang: Protect young black girls confidence.
1,2020-08-13 17:28:35,"Brussels, Belgium📍🇧🇪",,1293962668991221761,Nature https://t.co/PG1eLIokAu
2,2020-08-13 17:27:45,"Brussels, Belgium📍🇧🇪",,1293962458101686272,RT @hollyyclapp: I was raped in September and year 13 was hell because of it and I’m going to my firm uni to become your future PM 🤝 God ne…
3,2020-08-13 17:27:32,,,1293962402992738304,RT @esangiuliano: Bring us back together ⏰ https://t.co/XD4Lu50liq
4,2020-08-13 17:26:46,"Charlottesville, VA",,1293962209689776128,"RT @US_OCB: Liven up your Thursday with our newest science highlights:
The curious role of org alk in seawater carbonate chemistry @Xinping…"
5,2020-08-13 17:24:09,"Woods Hole, MA",,1293961553230823429,"Liven up your Thursday with our newest science highlights:
The curious role of org alk in seawater carbonate chemis… https://t.co/CuGO9fv2oJ"
6,2020-08-13 17:19:56,"Hopewell Junction, NY",,1293960490926866433,@criticalthotcop @j_a_hoffman Oh. Thank you. I often mistake support for criticism. Gotta press my reset button oft… https://t.co/0pkQdEPsHE
7,2020-08-13 17:17:19,"Bay Area CA, USA",,1293959831414378497,Fuck sports and fuck football stop wtf happened to @Twitter that i am getting alk these bullshit ads all of a sudden
8,2020-08-13 17:16:33,,,1293959641458790400,Also u the next day : https://t.co/lkU5t15Fud https://t.co/J5huNsdZ5x
9,2020-08-13 17:15:06,Did I fucking ask?,,1293959275149172736,@Azhagiiii @naaahsir LMAO you reminded me. It was eid like 2 years ago and i went deserts with my older bro and cou… https://t.co/82nwUGT6sc
10,2020-08-13 17:15:03,,,1293959262167851011,"RT @LeeAMullen1: This is my week for all my scans. MRI of brain, CT of chest, abdomen, and pelvis. These determine if my cancer meds are wo…"
11,2020-08-13 17:13:33,,,1293958886660231178,What a shame! Long live Palestine.       #التطبيع_خيانة #فلسطين_قضيتي
12,2020-08-13 17:10:46,,,1293958182847619075,football is all a lot of the coaches and players have left and the only good family they have i see no issue here https://t.co/fPZ8KgqR7e
13,2020-08-13 17:10:27,,,1293958106066690049,"RT @doloreselee: @UniteTGU @BASSA_2000 
@KenroiC @SholaMos1 @laith_alk
@ITVJoel @IainDale

@British_Airways Diversity and Inclusion out of…"
14,2020-08-13 17:09:16,Ignihyde Dorm!,,1293957805347463168,"@idiastablet Ehhh what happend? Did he went on a vacation owo?

Alk..? Alkyoneus..? Hmmm... i'll call you Alky-San!… https://t.co/fhZcJUhIdU"
15,2020-08-13 17:08:35,,,1293957634698219520,RT @rawusoni: @fa_3_rs @ma_dy2 @lj1l1 @1floi @ir_iij @jjijl1 @iiyii6 @hildl7 @ESa1y @OsamaMH541 @R__Ga__ @Lotf_Alk @koph457 @E9Cm55 @2___ju…
16,2020-08-13 17:07:32,"Dallas, TX",,1293957372965257216,Much needed sleep to catch up on this weekend
17,2020-08-13 17:07:08,"Dallas, TX",,1293957270804598785,Literally exhausted beyond comprehension rn
18,2020-08-13 17:06:36,"Dallas, TX",,1293957135714451465,I didn’t think I’d make it to work today lmao I woke up &amp; just felt like I was in a dream
19,2020-08-13 17:01:42,,,1293955901641162752,RT @rawusoni: @fa_3_rs @ma_dy2 @lj1l1 @1floi @ir_iij @jjijl1 @iiyii6 @hildl7 @ESa1y @OsamaMH541 @R__Ga__ @Lotf_Alk @koph457 @E9Cm55 @2___ju…
20,2020-08-13 16:59:09,,,1293955259761647619,"Drove after few months, worst motion sickness ever"
21,2020-08-13 16:55:51,India,,1293954431088603136,@fa_3_rs @ma_dy2 @lj1l1 @1floi @ir_iij @jjijl1 @iiyii6 @hildl7 @ESa1y @OsamaMH541 @R__Ga__ @Lotf_Alk @koph457… https://t.co/yOE5jCa0q4
22,2020-08-13 16:55:24,"Hershey, PA",,1293954318421438479,"RT @VPrasadMDMPH: As much as everyone wants to be a cheerleader for EGFR and ALK drugs, which DO have a role in lung cancer, can we please…"
23,2020-08-13 16:54:41,Abu Dhabi,,1293954136103358464,"RT @bnjarsh1: I open Twitter, I talk to myself then I leave"
24,2020-08-13 16:47:57,,,1293952444259393536,@bl00d13d 'ey you 'alk abou' 'hings like your so smar' bu' we knah you ain'' go' 'i' compared 'o even mi''ons you idio'
25,2020-08-13 16:24:58,"Baltimore, MD",,1293946658460295170,@jrcarhuapoma Thank you for the shoutout 😊
26,2020-08-13 16:24:50,"Lagos, Nigeria",,1293946627200253953,"@Iam_annyronnie @_spiriituaL @verified Definately deserved to be verified, @verified please verify this good man."
27,2020-08-13 16:23:18,"San Francisco, CA",,1293946240028221441,"RT @VPrasadMDMPH: As much as everyone wants to be a cheerleader for EGFR and ALK drugs, which DO have a role in lung cancer, can we please…"
28,2020-08-13 16:18:11,,,1293944950636318720,"RT @doloreselee: @UniteTGU @BASSA_2000 
@KenroiC @SholaMos1 @laith_alk
@ITVJoel @IainDale

@British_Airways Diversity and Inclusion out of…"
29,2020-08-13 16:16:46,London UK,,1293944593780740097,"RT @doloreselee: @UniteTGU @BASSA_2000 
@KenroiC @SholaMos1 @laith_alk
@ITVJoel @IainDale

@British_Airways Diversity and Inclusion out of…"
30,2020-08-13 16:15:31,"Lagos, Nigeria",,1293944279937802240,"@_spiriituaL God bless you, you shall be celebrated and called upon as a saviour in dis our 9ja, ur legacy will always be appreciated boss."
31,2020-08-13 16:13:21,"England, United Kingdom",,1293943733642305538,@alk_info Merci! I learn so much from this account ☺️
