,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 23:30:38,,,1294053783497048064,@ALK_Ruxa 😂😂😂I like that one
1,2020-08-13 23:20:33,🅾🅽🅻🆈 🅰🆁🅼🆈,,1294051242474446850,@EgosShadow7 @bigdaddyjoon we need positivity and longevity that's the keys to alk
2,2020-08-13 23:20:03,"Brussels, Belgium📍🇧🇪",,1294051116146200579,"RT @itsbeardedvegan: #AngolaMeetsCongo 🇦🇴🇨🇩

My People We Bound To Party Until We Drop 

Specially when @DJ_AMW95 drops this jam 😅👀🇦🇴🇦🇴 htt…"
3,2020-08-13 23:17:34,,,1294050491618529280,@ObviouslyLad @ShortDevax @Golienight We've all been replaced Sadge
4,2020-08-13 23:10:24,"Brussels, Belgium📍🇧🇪",,1294048691263873024,"RT @itsbeardedvegan: #AngolaMeetsCongo 🇦🇴🇨🇩

Bo Tala Elengi 🔥🇨🇩🇨🇩

August 30th this the VIM I’m expecting from my Congolese people 

Ekoyin…"
5,2020-08-13 23:10:14,"Brussels, Belgium📍🇧🇪",,1294048646883946496,"RT @itsbeardedvegan: #AngolaMeetsCongo 🇦🇴🇨🇩

All My Bakongo/Mukongo People 

This is when we bring unite between Angola &amp; Congo 

30th Boun…"
6,2020-08-13 23:09:38,She/hers or He/his,,1294048495331160065,"Y’alk really liked this tweet,,, should I finally just go apeshit and be horny on main here now? https://t.co/Hge0NkPct0"
7,2020-08-13 23:08:14,"Brussels, Belgium📍🇧🇪",,1294048144855126018,RT @ltc_bosh: in the streets of #dijon https://t.co/2DFJkpdSN6
8,2020-08-13 23:07:26,"Brussels, Belgium📍🇧🇪",,1294047944891654144,Ntaba birthday il m’enjaille trop ce son pado
9,2020-08-13 23:05:10,"Brussels, Belgium📍🇧🇪",,1294047374474698753,RT @Mounna_a: Baby face https://t.co/k0FXDj1GzJ
10,2020-08-13 23:04:34,Oman,,1294047222217269252,RT @_badassiee: witnessing my own growth makes me happy.
11,2020-08-13 23:04:20,"Brussels, Belgium📍🇧🇪",,1294047160879722502,RT @AdonisBosso: My baby momma harder than a lot of you niggas https://t.co/zLvaPssrd0
12,2020-08-13 23:03:35,"Las Vegas, NV, USA",,1294046975550083072,@alk_battery @ShortDevax @Golienight It feels like it’s been weeks since I’ve seen Devax Sadge
13,2020-08-13 23:02:29,"Brussels, Belgium📍🇧🇪",,1294046695962161158,RT @KaliSa____96: When the alcohol hits and my shyness runs away
14,2020-08-13 22:58:53,"The Capital, Kuwait",,1294045789333970949,Train your mind to see the good in everything. Positivity is a choice. The happiness of your life depends on the quality of your thoughts.
15,2020-08-13 22:58:03,lesbian | she/her | blm,,1294045583322169345,@voidsrunner THEY LOOK LIKE A CULT WHY DO THEY ALK LOOK THE SAME WTF IS THIS
16,2020-08-13 22:54:41,,,1294044735368310784,@ShortDevax @Golienight Don't pull a Sortiez on us Sadge
17,2020-08-13 22:48:07,,,1294043082493583361,@9_volt_ Billion dollar company 1 is opressimg billion dollar company 2
18,2020-08-13 22:47:19,bahay ni donghae,,1294042879724142592,"I woke up to Heechul standing up for Ryeowook and saying Ryeonggu is a precious one along with alk the members 🥺🥺
M… https://t.co/ks1sbEbwIV"
19,2020-08-13 22:44:37,stepsis(in der Waschmaschine),,1294042199349501952,@Schwabbel8 Nur alk
20,2020-08-13 22:41:16,,,1294041358236147712,@GeorgeAnthonyO1 Thank you and to alk the sponsors 😊🤟
21,2020-08-13 22:39:55,Hellinois ,,1294041017981849600,@SpeakerPelosi so you now leave without taking care of the people you represent who need the stimulus money. You al… https://t.co/qLhMP2Buc8
22,2020-08-13 22:35:59,Kuwait,,1294040029426311173,Don’t ever lie to me to protect my feelings
23,2020-08-13 22:35:54,"Brussels, Belgium📍🇧🇪",,1294040008224059393,RT @CMeylane: The shrinkage is reallllll https://t.co/7jIkuIWdha
24,2020-08-13 22:34:29,"Brentwood, TN",,1294039650663792648,@Doug_Alk Nice job!! What website are you using for dfs though?
25,2020-08-13 22:29:58,Oman,,1294038512954736640,Show some gratitude!
26,2020-08-13 22:29:13,"Brussels, Belgium📍🇧🇪",,1294038323904892928,RT @G_brazzahood__: vive les screens https://t.co/3nsSbZTl2J
27,2020-08-13 22:18:38,,,1294035660291158020,@9srav i like👍🏼👍🏼👍🏼👍🏼👍🏼
28,2020-08-13 22:15:18,,,1294034821342269446,RT @mahraa6_: @Hend_Alk My favorite type of flowers “Hend🌺”
29,2020-08-13 22:13:32,United Arab Emirates,,1294034377287118848,@Hend_Alk My favorite type of flowers “Hend🌺”
30,2020-08-13 22:05:57,日本 東京,,1294032468291461122,RT @StephenVLiu: Great @BTOGORG webinar. Treat to hear expert @fblackhall discuss #ALK updates from @IASLC #VPS20. Caution not to read too…
31,2020-08-13 22:05:05,Sydney Australia,,1294032253035536384,"RT @jillfeldman4: #lungcancer survivors &amp; loved ones, join me @LUNGevity’s 2020 International Survivorship Conference to be held virtually…"
32,2020-08-13 22:04:13,Lebanon ,,1294032032683692033,@BGram_12 @caroliibe LETS GET ALK GD TWITTER TO USE THIS PFP
33,2020-08-13 22:03:59,"Sydney, New South Wales",,1294031973233565696,"RT @mathew_carter1: Press release - CROWN trial 

Need to see the data.  

@caliraf @FabioGomes_Go @mylovelypinata @philruss3 
@team_lung @…"
34,2020-08-13 22:03:54,North Carolina,,1294031955844124675,"RT @nbuckner7: Panthers, we are excited to see you next week! Check out our interactive school to meet our staff and teachers! You can even…"
35,2020-08-13 22:02:39,"Raahe, Suomi",,1294031639358640128,"RT @VPrasadMDMPH: As much as everyone wants to be a cheerleader for EGFR and ALK drugs, which DO have a role in lung cancer, can we please…"
36,2020-08-13 22:00:56,,,1294031205801885697,"RT @bts_bighit: &lt;BREAK THE SILENCE: THE MOVIE&gt; Official Trailer 1
https://t.co/tJoh2LKRrl
(https://t.co/IYeWcGjcZu)

#BTS #방탄소년단 #BREAKTHES…"
37,2020-08-13 21:59:37,,,1294030875571625984,RT @jacquenergy: i want a baby deer https://t.co/6ZGniMHBws
38,2020-08-13 21:57:01,,,1294030223202291713,@Schwabbel8 Crack Hero Speed koks Alk Weed
39,2020-08-13 21:56:50,,,1294030176817483777,RT @jaden: #CTV3 Cool Tape Volume 3 Pre Order This Friday. https://t.co/dCM9XOo7ae
40,2020-08-13 21:51:02,World ,,1294028717799481348,"RT @ParagonIntelNYC: Lastly, here is the individual breakdown, looking at top airliners: 

$ALK $ALGT $AAL $DAL $JBLU $LUV $SAVE $UAL https…"
41,2020-08-13 21:48:45,,,1294028140302544902,"@shyguyrm And jungkook tells him alk the time. How beautiful he us, his height and frame, the way he talks."
42,2020-08-13 21:47:46,sheherfourteen ,,1294027893148774400,@sejeongcrossing UR AOCIREHOW R U SO CURE ALK THE TIME I CANT STOP SCREMAING LIKE UR ARM IS BROKEN AND UR STILL LOO… https://t.co/Vx8TzlgHIa
43,2020-08-13 21:45:42,,,1294027376096161794,@Schwabbel8 Ott und alk
44,2020-08-13 21:36:54,"Sharjah, United Arab Emirates",,1294025160211791874,So from 100 to 999999 how pretty am I? https://t.co/MSlJ9Oy9Kf
45,2020-08-13 21:36:13,"Brussels, Belgium📍🇧🇪",,1294024989381976065,RT @mlle_grl: Les braids &gt;&gt; 🥴 https://t.co/ZfVzxTf6OP
46,2020-08-13 21:35:38,,,1294024839909576711,@themrrym Peonies are my fav too!
47,2020-08-13 21:34:45,"Brussels, Belgium📍🇧🇪",,1294024616827125762,RT @AdaureNadine: It’s tha smile fa me🥺 https://t.co/GxiC2J2bC9
48,2020-08-13 21:33:02,"Helsinki, Finland",,1294024184847269888,"@Vsvpsmiles_ Hitbox? More like litter box. 
Get Beerused"
49,2020-08-13 21:32:13,,,1294023981750616064,@VideoEditBot @DogSpacey @supermcdante @logoffon @VideoEditBot earrape = 100
50,2020-08-13 21:30:03,"Providence, RI",,1294023434066853889,RT @MetablackMusic: banger (hi this is alk)
51,2020-08-13 21:29:06,she/her,,1294023194588991489,@mara_hjg Jdkkdkkf GO TO SLEEP ull gonna be tired alk day otherwise https://t.co/h3vvEnQgl1
52,2020-08-13 21:28:25,,,1294023025457758209,banger (hi this is alk) https://t.co/b4xVLGfI9j
