,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-12 17:56:35,"Los Angeles, CA",,1293607328130899970,"Alaska Airlines flight #ASA1178 spotted at 35,000 feet! https://t.co/MDAR1zJ9KA"
1,2020-08-12 17:54:11,,,1293606724046209025,@erecasner @united @UnitedAirlines Fly Alaska Airlines from now on! They've extended the no middle seats policy thr… https://t.co/phwqlgt8lf
2,2020-08-12 17:53:17,"Los Angeles, CA",,1293606497276944384,"Alaska Airlines flight #ASA624 spotted at 39,000 feet! https://t.co/mUQ4Nur37a"
3,2020-08-12 17:50:35,"Anchorage, AK ✈",,1293605818063966208,"RT @Ch2KTUU: If you are thinking of traveling in 2021, just announced Wednesday morning, Condor Airlines will have flights between Frankfur…"
4,2020-08-12 17:50:00,"Anchorage, Alaska",,1293605669287931905,"If you are thinking of traveling in 2021, just announced Wednesday morning, Condor Airlines will have flights betwe… https://t.co/dUuVepyIBS"
5,2020-08-12 17:45:36,"Anchorage, Alaska",,1293604563983806464,@workingrem A5: I used to travel 6 to 10 months of the year for work projects. It is always an opportunity to netwo… https://t.co/oTWspw2wys
6,2020-08-12 16:50:03,"Seattle, WA",,1293590581893935104,"RT @anotheruiguy: Hey, Alaska Airlines is hiring a Sr UI Designer. Want to work with a great company and a leading airline? Also, want to h…"
7,2020-08-12 16:43:59,United States,,1293589058208190464,Boarded my Alaska Airlines flight from SAN to SFO.  Maybe 30 people. Crazy this flight is normally packed.
8,2020-08-12 16:40:22,Southern California,,1293588148375531521,"RT @anotheruiguy: Hey, Alaska Airlines is hiring a Sr UI Designer. Want to work with a great company and a leading airline? Also, want to h…"
9,2020-08-12 16:38:19,The Labyrinth,,1293587629204791297,"RT @anotheruiguy: Hey, Alaska Airlines is hiring a Sr UI Designer. Want to work with a great company and a leading airline? Also, want to h…"
10,2020-08-12 16:36:44,"Seattle, WA",,1293587232943558656,"Hey, Alaska Airlines is hiring a Sr UI Designer. Want to work with a great company and a leading airline? Also, wan… https://t.co/XABifBbI2A"
11,2020-08-12 16:32:24,"Los Angeles, CA",,1293586142374240256,Alaska Airlines flight #ASA330 spotted at 550 feet! https://t.co/WNKF6M0F4u
12,2020-08-12 16:30:31,"Los Angeles, CA",,1293585666085773317,"Alaska Airlines flight #ASA1259 spotted at 23,150 feet! https://t.co/yJPdHhIPwn"
13,2020-08-12 16:27:43,,,1293584961065250816,"Good for Alaska airlines.
I personally don't like the masks either but it's a necessary precaution for now . 
The 1… https://t.co/XKS1GHrgt3"
14,2020-08-12 16:25:28,"Washington, D.C.",,1293584398202351616,RT @AeroAmMag: PANDEMIC NEWS UPDATE: Arianespace back on the launch pad; Airbus deliveries up in July; Alaska Airlines says no mask exempti…
15,2020-08-12 16:21:42,"Los Angeles, CA",,1293583450230779910,"Alaska Airlines flight #ASA1020 spotted at 1,750 feet! https://t.co/2AJyfyinQ5"
16,2020-08-12 16:13:10,"Los Angeles, CA",,1293581301572722688,"Alaska Airlines flight #ASA290 spotted at 2,050 feet! https://t.co/iG7BqKZUEG"
17,2020-08-12 16:04:03,"Reston, VA",,1293579006445588480,PANDEMIC NEWS UPDATE: Arianespace back on the launch pad; Airbus deliveries up in July; Alaska Airlines says no mas… https://t.co/ME40KZy9X0
18,2020-08-12 15:55:06,,,1293576755505238016,RT @SDReader92109: @flyvolaris Why are you tormenting me? My friend and I had to reschedule the same flight. She had until 10/25 to resched…
19,2020-08-12 15:54:20,,,1293576562978091010,@flyvolaris Why are you tormenting me? My friend and I had to reschedule the same flight. She had until 10/25 to re… https://t.co/1Jaw8N9QA8
20,2020-08-12 15:53:03,"Los Angeles, CA",,1293576238330597378,"Alaska Airlines flight #ASA744 spotted at 37,000 feet! https://t.co/pGINyctknW"
21,2020-08-12 15:11:19,"Los Angeles, CA",,1293565735613034500,Alaska Airlines flight #ASA512 spotted at 750 feet! https://t.co/FES8oKhTAK
22,2020-08-12 15:01:31,"Los Angeles, CA",,1293563270817751040,"Alaska Airlines flight #ASA895 spotted at 12,450 feet! https://t.co/G5eJD2uIAQ"
23,2020-08-12 14:56:44,"Los Angeles, CA",,1293562066054217729,"Alaska Airlines flight #ASA240 spotted at 23,500 feet! https://t.co/G1PYsQuP4K"
24,2020-08-12 14:43:53,"Los Angeles, CA",,1293558831717343237,"Alaska Airlines flight #ASA1200 spotted at 37,025 feet! https://t.co/5ROkfabLiL"
25,2020-08-12 14:32:25,"Los Angeles, CA",,1293555946480734209,"Alaska Airlines flight #ASA209 spotted at 15,050 feet! https://t.co/Qurjl4sF6P"
26,2020-08-12 14:30:57,"Los Angeles, CA",,1293555578749378562,"Alaska Airlines flight #ASA289 spotted at 20,275 feet! https://t.co/iUx18M0l8a"
27,2020-08-12 14:09:02,,,1293550060815421441,"RT @KAPPKVEW: Even after a warning from flight attendants, several passengers on board the flight from Spokane to Portland refused to cover…"
28,2020-08-12 14:01:47,Western Skies,,1293548239526846466,"RT @hharteveldt: “No mask. No travel. No exceptions.” Don’t mess with @AlaskaAir, people, they will have none of it. 

 https://t.co/qZCVTr…"
29,2020-08-12 14:00:50,Western Skies,,1293547999692349440,RT @RunwayGirl: Alaska Airlines has permanently done away with inflight entertainment tablet rentals on board its flights in the name of sa…
30,2020-08-12 14:00:01,"Tri Cities - Yakima, WA",,1293547791126593536,"Even after a warning from flight attendants, several passengers on board the flight from Spokane to Portland refuse… https://t.co/WNJW23gu46"
31,2020-08-12 13:35:47,"Vancouver, Canada",,1293541693338333187,"High-flying internet reports are in that ""the company, which provides in-flight connectivity to major airlines like… https://t.co/mXDSK5TExK"
32,2020-08-12 13:23:43,"Lancaster, PA",,1293538656200925185,RT @PressReader: #PressRelease: @AlaskaAir announces new partnership with PressReader: “We’re thrilled to partner with PressReader to provi…
33,2020-08-12 13:11:48,"Los Angeles, CA",,1293535659026550784,"Alaska Airlines flight #ASA503 spotted at 14,700 feet! https://t.co/0RUF3yC24m"
34,2020-08-12 12:59:43,"Spokane, WA",,1293532619825491968,RT @kxly4news: Passengers refusing to wear masks delayed an Alaska Airlines flight out of Spokane. https://t.co/RinaDMUkh4 #4NewsNow
35,2020-08-12 12:56:17,"Spokane, WA",,1293531753945030661,RT @kxly4news: Passengers refusing to wear masks delayed an Alaska Airlines flight out of Spokane. https://t.co/RinaDMUkh4 #4NewsNow
