,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 03:31:46,"This is not normal, AZ",,1293752077047328768,RT @azcentral: Woman hits Phoenix airport gate agent after being denied boarding for not wearing a mask https://t.co/9px3uw3vhH
1,2020-08-13 03:30:23,"Los Angeles, CA",,1293751729939337216,"American Airlines flight #AAL862 spotted at 1,225 feet! https://t.co/lh0CCSPoHH"
2,2020-08-13 03:29:09,"Evergreen, CO",,1293751418147332096,RT @azcentral: Woman hits Phoenix airport gate agent after being denied boarding for not wearing a mask https://t.co/9px3uw3vhH
3,2020-08-13 03:28:53,"Louisville, KY",,1293751350656983041,RT @melissayeagr: A woman struck an American Airlines gate agent at Phoenix Sky Harbor after she was denied boarding. She had refused to we…
4,2020-08-13 03:28:20,"Prescott, AZ",,1293751211196260352,RT @azcentral: Woman hits Phoenix airport gate agent after being denied boarding for not wearing a mask https://t.co/9px3uw3vhH
5,2020-08-13 03:27:01,"London, England",,1293750879548473346,"New article: ""JetSMART Eyes Quicker Latin American Expansion Amid Pandemic"" has been published on Fintech Zoom -… https://t.co/N5qJsbExCY"
6,2020-08-13 03:26:03,"Isolation, Arizona, USA",,1293750636761161730,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
7,2020-08-13 03:24:30,,,1293750248666550277,RT @azcentral: Woman hits Phoenix airport gate agent after being denied boarding for not wearing a mask https://t.co/9px3uw3vhH
8,2020-08-13 03:24:24,,,1293750221411885056,American Airlines you sick and shame on you! https://t.co/IsKkBsbxah
9,2020-08-13 03:24:05,"SLC, UT",,1293750142978240513,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
10,2020-08-13 03:20:21,"McKeesport, PA",,1293749202187694080,RT @azcentral: Woman hits Phoenix airport gate agent after being denied boarding for not wearing a mask https://t.co/9px3uw3vhH
11,2020-08-13 03:20:07,"Dallas, Tx",,1293749146839588864,"RT @DrEricDing: 8) Scientists agree that middle seats on planes should be blocked. @AliNouriPhD the President of @FAScientists, joined by @…"
12,2020-08-13 03:20:06,Arizona,,1293749140090839040,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
13,2020-08-13 03:19:33,"Florida, USA",,1293749002865913856,RT @azcentral: Woman hits Phoenix airport gate agent after being denied boarding for not wearing a mask https://t.co/9px3uw3vhH
14,2020-08-13 03:18:53,"Phoenix, AZ",,1293748834884112384,RT @azcentral: Woman hits Phoenix airport gate agent after being denied boarding for not wearing a mask https://t.co/9px3uw3vhH
15,2020-08-13 03:16:39,"Phoenix, AZ",,1293748274315182080,"Dumb ass

https://t.co/QBGecYt4zo"
16,2020-08-13 03:15:12,"Phoenix, AZ",,1293747906898472962,Woman hits Phoenix airport gate agent after being denied boarding for not wearing a mask https://t.co/9px3uw3vhH
17,2020-08-13 03:13:39,"Los Angeles, CA",,1293747519227224064,"American Airlines flight #AAL2507 spotted at 24,800 feet! https://t.co/4i2lfAbz3C"
18,2020-08-13 03:13:02,,,1293747363832528896,@JuliansRum That's not true.James Harris just got banned from flying American airlines for saying that.Grocers in m… https://t.co/3jngSPuuAf
19,2020-08-13 03:12:38,,,1293747262628048899,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
20,2020-08-13 03:12:05,Mexico City,,1293747123461206017,RT @AirTransportNew: These types of face coverings will not be allowed on American Airlines flights beginning next week - https://t.co/qJz8…
21,2020-08-13 03:10:11,"Rio Grande City, TX",,1293746644815667200,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
22,2020-08-13 03:07:09,"Phoenix, AZ",,1293745881296953350,RT @melissayeagr: A woman struck an American Airlines gate agent at Phoenix Sky Harbor after she was denied boarding. She had refused to we…
23,2020-08-13 03:04:41,"Los Angeles, CA",,1293745260267364353,"American Airlines flight #AAL2044 spotted at 32,325 feet! https://t.co/Au45bzPJOZ"
24,2020-08-13 03:03:49,,,1293745040984911872,@VolatilityWiz Absolutely! American airlines are terrible compared to other countries'. Very sad that bad service i… https://t.co/lvlbNPdrsi
25,2020-08-13 03:02:41,,,1293744757835931649,RT @melissayeagr: A woman struck an American Airlines gate agent at Phoenix Sky Harbor after she was denied boarding. She had refused to we…
26,2020-08-13 03:02:15,México,,1293744648494690304,RT @AirTransportNew: These types of face coverings will not be allowed on American Airlines flights beginning next week - https://t.co/qJz8…
27,2020-08-13 03:02:06,,,1293744610439655424,These types of face coverings will not be allowed on American Airlines flights beginning next week -… https://t.co/YbAcUuo2h5
28,2020-08-13 03:01:17,"Chicago, IL",,1293744406978105347,"RT @BGOnTheScene: I have flown nearly every major US airline during this pandemic, and so far American Airlines continues to be the only on…"
29,2020-08-13 02:59:24,"Arlington, TX",,1293743930962513920,@Alyssa_Milano Harris has more baggage then American Airlines on Christmas. If you were so sure about Joe you should have bet me.
30,2020-08-13 02:57:57,"Los Angeles, CA",,1293743568188837888,"American Airlines flight #AAL2597 spotted at 15,975 feet! https://t.co/APML3MRfbK"
31,2020-08-13 02:56:02,,,1293743082668789760,New post from Seher Asaf. American Airlines bans face masks with vents or valves https://t.co/cnzBO2tk4i
32,2020-08-13 02:55:01,California,,1293742827520659456,@JuliansRum @DavidJHarrisJr was banned from American Airlines recently for refusing to wear a mask due to a medical… https://t.co/fWf1oBbqz6
33,2020-08-13 02:51:44,,,1293742003348549633,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
34,2020-08-13 02:51:07,"Ottawa, Ontario",,1293741844728356864,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
35,2020-08-13 02:48:50,United States,,1293741272042102784,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
36,2020-08-13 02:48:05,Milano-Italy,,1293741082224857090,RT @n194at: American Trans Air (ATA Airlines) B757-2Q8 N755AT arriving @Airport_FRA July 1983 photo credit Frank Duarte #AvGeek #B757 #ATA…
37,2020-08-13 02:48:04,Texas,,1293741078328348673,"@GovMikeHuckabee I loved your comment about #PhonyKamala saying, she comes in this race with more baggage than Amer… https://t.co/WMPb29RQT6"
38,2020-08-13 02:47:09,he/him シ 🇨🇱 ,,1293740849440993283,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
39,2020-08-13 02:44:41,Buchanan,,1293740226217684992,@DavidJHarrisJr I sold my (un)American Airlines stock!!!! @AmericanAir
40,2020-08-13 02:41:35,,,1293739448828600321,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
41,2020-08-13 02:39:11,,,1293738842596376578,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
42,2020-08-13 02:38:01,,,1293738548143820806,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
43,2020-08-13 02:37:46,Hawthorne NJ,,1293738486445617160,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
44,2020-08-13 02:37:17,+62-31,,1293738365939003393,RT @moodvintage: American Airlines stewardess 1967 https://t.co/PKtzE7acWc
45,2020-08-13 02:36:35,Surrey BC Canada,,1293738189526462464,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
46,2020-08-13 02:35:33,"Phoenix, AZ",,1293737929978740736,RT @melissayeagr: A woman struck an American Airlines gate agent at Phoenix Sky Harbor after she was denied boarding. She had refused to we…
47,2020-08-13 02:35:25,"Los Angeles, CA",,1293737895191121920,"American Airlines flight #AAL2724 spotted at 10,775 feet! https://t.co/5TWyTLjYNv"
48,2020-08-13 02:35:16,"Paradise Valley, AZ",,1293737859501842433,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
49,2020-08-13 02:34:33,"Detroit, Michigan",,1293737677561507847,RT @compuware: We are stoked that app dev and technical leaders from American Airlines will join us for our August 27th webcast to discuss…
50,2020-08-13 02:33:57,United States,,1293737526591619075,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
51,2020-08-13 02:32:10,"Grand Prairie, TX",,1293737075930472448,"RT @wfaa: American Airlines will ban the use of face masks that have exhaust valves or vents, joining almost every major airline in the U.S…"
52,2020-08-13 02:31:32,SAV,,1293736919034138624,"RT @wfaa: American Airlines will ban the use of face masks that have exhaust valves or vents, joining almost every major airline in the U.S…"
53,2020-08-13 02:31:30,United States,,1293736910163189761,@thatboydave2015 From American “Airlines”? 🤣
54,2020-08-13 02:31:24,"Dallas, Texas",,1293736883311316994,"RT @wfaa: American Airlines will ban the use of face masks that have exhaust valves or vents, joining almost every major airline in the U.S…"
55,2020-08-13 02:30:29,"Phoenix, AZ",,1293736655392657414,RT @JetPhotos: American Airlines aircraft at the gate in Phoenix. https://t.co/bmAEcTNltm © Zihao Wang https://t.co/cO8Tm2EaXt
56,2020-08-13 02:30:20,my room,,1293736618319327232,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
57,2020-08-13 02:30:00,"Los Angeles, CA",,1293736534504439808,"American Airlines flight #AAL810 spotted at 11,250 feet! https://t.co/V4MlWKN7NY"
58,2020-08-13 02:30:00,"Dallas, TX",,1293736533879599106,"American Airlines will ban the use of face masks that have exhaust valves or vents, joining almost every major airl… https://t.co/gvQjNLDxsj"
59,2020-08-13 02:29:23,,,1293736378698813440,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
60,2020-08-13 02:29:21,"Phoenix, AZ",,1293736368749780993,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
61,2020-08-13 02:29:07,"Phoenix, AZ",,1293736308825718790,RT @melissayeagr: A woman struck an American Airlines gate agent at Phoenix Sky Harbor after she was denied boarding. She had refused to we…
62,2020-08-13 02:26:42,"Orlando, FL",,1293735702069469185,"RT @DoniTheDon_: Wow American Airlines ‼‼‼ You banned @DavidJHarrisJr ??? 

https://t.co/DjIwiDwy3N"
63,2020-08-13 02:25:54,,,1293735501678227456,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
64,2020-08-13 02:25:44,,,1293735458376167429,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
65,2020-08-13 02:22:11,"HOLLYWOOD, U.S.A.",,1293734565241131009,"@benwhittle93 @Scrub_Tails @antoniomantan @RobRexHardon @HarleyShah It’s corporate welfare. Corporations, especiall… https://t.co/QXDzT34jZY"
66,2020-08-13 02:21:39,"Los Angeles, CA",,1293734433183264768,"American Airlines flight #AAL650 spotted at 18,700 feet! https://t.co/zHTOIllYKL"
67,2020-08-13 02:20:33,"Martinez, GA",,1293734153440186376,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
68,2020-08-13 02:19:50,"Indianapolis, IN USA",,1293733973580034056,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
69,2020-08-13 02:16:34,"Baltimore, MD",,1293733150460436480,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
70,2020-08-13 02:15:57,SW USA,,1293732996864827393,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
71,2020-08-13 02:10:50,Rubbish bin on fire ,,1293731708127399936,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
72,2020-08-13 02:10:17,The Crossroads of America,,1293731571766362112,RT @melissayeagr: A woman struck an American Airlines gate agent at Phoenix Sky Harbor after she was denied boarding. She had refused to we…
73,2020-08-13 02:09:21,"Harrisburg, NC",,1293731333848662016,@aloverofblue And American Airlines is removing passengers with no mask!
74,2020-08-13 02:07:56,"Texas, USA",,1293730979195101185,"@zmcp1 @NBCDFW @SouthwestAir Read the article for yourself if you don’t believe me.
https://t.co/zJswYsMcu4"
75,2020-08-13 02:06:02,"Phoenix, AZ",,1293730500868050944,RT @melissayeagr: A woman struck an American Airlines gate agent at Phoenix Sky Harbor after she was denied boarding. She had refused to we…
76,2020-08-13 02:05:12,,,1293730291928858629,RT @melissayeagr: A woman struck an American Airlines gate agent at Phoenix Sky Harbor after she was denied boarding. She had refused to we…
77,2020-08-13 02:04:50,🌵Phoenix & sometimes🌻🇩🇪🌎,,1293730198408503296,A woman struck an American Airlines gate agent at Phoenix Sky Harbor after she was denied boarding. She had refused… https://t.co/yYCrXO5F86
78,2020-08-13 02:04:02,,,1293729999397236737,"RT @Prosoundlogic: @JuliansRum Not on American Airlines, I even had a doctor’s note for my asthma. Told me I can’t fly if I didn’t cover my…"
79,2020-08-13 02:03:56,Out of this world ,,1293729971005984769,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
80,2020-08-13 02:03:16,,,1293729804865490944,RT @moodvintage: American Airlines stewardess 1967 https://t.co/PKtzE7acWc
81,2020-08-13 02:01:32,Arizona U.S.,,1293729369039368194,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
82,2020-08-13 01:59:42,Tampa area,,1293728905657044992,"@JuliansRum Not on American Airlines, I even had a doctor’s note for my asthma. Told me I can’t fly if I didn’t cov… https://t.co/duPKnF6JrR"
83,2020-08-13 01:57:35,,,1293728373600968704,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
84,2020-08-13 01:57:26,123 Egg Lane,,1293728337253117952,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
85,2020-08-13 01:57:24,"Arizona, USA",,1293728328260542464,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
86,2020-08-13 01:56:50,"Los Angeles, CA",,1293728187231264768,"American Airlines flight #AAL2637 spotted at 27,525 feet! https://t.co/BHQney2fsr"
87,2020-08-13 01:55:48,,,1293727926534324224,RT @azcentral: A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Airport on…
88,2020-08-13 01:53:04,"Phoenix, AZ",,1293727236697272320,A woman struck an American Airlines gate agent after she was denied boarding at Phoenix Sky Harbor International Ai… https://t.co/BbNYo9gKW5
89,2020-08-13 01:52:10,,,1293727011232522246,"@JordynTrump1 @krayonpundit2 @DavidJHarrisJr AMERICAN Airlines.

AMERICAN.

Yeah, sure.

Nice bias there, @AmericanAir ."
