,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-12 17:57:33,"Los Angeles, CA",,1293607568661573638,"American Airlines flight #AAL2722 spotted at 38,000 feet! https://t.co/n6jmzoz2Uy"
1,2020-08-12 17:55:47,"Los Angeles, CA",,1293607125957005312,"American Airlines flight #AAL445 spotted at 27,525 feet! https://t.co/tufqHaeseE"
2,2020-08-12 17:53:52,"Springfield, Missouri USA",,1293606645226967047,"😷 Heads up! Effective Wed, Aug 19, masks with exhaust valves or vents no longer allowed on American Airlines. Masks… https://t.co/kIj4cdr0a8"
3,2020-08-12 17:53:38,"Los Angeles, CA",,1293606586682757126,"American Airlines flight #AAL524 spotted at 14,700 feet! https://t.co/7Xxh3kqABQ"
4,2020-08-12 17:50:31,"Los Angeles, CA",,1293605801748099072,"American Airlines flight #AAL2281 spotted at 36,000 feet! https://t.co/sqCHIdQxFo"
5,2020-08-12 17:45:25,,,1293604517871845379,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
6,2020-08-12 17:43:44,"Scotstoun, NC",,1293604094108749826,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
7,2020-08-12 17:43:12,"Miami, FL",,1293603959979028482,RT @_AdamFitzgerald: NEADS Hunt For American Airlines  Flight 11 After It Had Hit The WTC (9/11 Commission Draft) https://t.co/ComasaPYDW
8,2020-08-12 17:42:25,"Miami, FL",,1293603761341059072,"Good move! @AmericanAir bans face masks with vents or valves, becomes latest carrier to announce the policy fr… https://t.co/U22mKEBS4E"
9,2020-08-12 17:41:55,"San José, Costa Rica",,1293603637952995330,"The latest weekly update for flights into/out of San Jose, Costa Rica. Although American Airlines has been in the n… https://t.co/DmkZveoRU6"
10,2020-08-12 17:41:44,"Los Angeles, CA",,1293603590628548608,"American Airlines flight #AAL2460 spotted at 2,800 feet! https://t.co/BmBQdfpxpc"
11,2020-08-12 17:41:16,"Philadelphia, PA","{'type': 'Point', 'coordinates': [-75.22847277, 39.88496547]}",1293603474219962368,"I'm at American Airlines Catering Facility in Philadelphia, PA https://t.co/55QowsPOCN"
12,2020-08-12 17:38:53,"Los Angeles, CA",,1293602871867449344,"American Airlines flight #AAL2231 spotted at 9,725 feet! https://t.co/c5s145K2oP"
13,2020-08-12 17:37:59,Germany France Spain Italy AEX,,1293602646356615168,2 Ways to Play AAL Stock While It Takes Flight Again | InvestorPlace https://t.co/I3jYsYAcwd | $SPY $BABA $DVAX… https://t.co/TVwz3AWeSK
14,2020-08-12 17:37:30,"Central Harlem, Manhattan",,1293602525741043712,I’m never flying w American Airlines again. They are so unorganized. Frontier is always cheapest but their planes b… https://t.co/xS4LIF7jwI
15,2020-08-12 17:36:50,,,1293602357905960962,"@TheHerd Because American Airlines doesn't care about people, they care about money.  That's not a great comparison."
16,2020-08-12 17:36:09,,,1293602184123289602,"American Airlines bans face masks with vents or valves, becomes latest carrier to announce the policy https://t.co/znJIxlV0Wg #FoxBusiness"
17,2020-08-12 17:35:13,,,1293601948487147522,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
18,2020-08-12 17:34:40,,,1293601809882374145,Philadelphia to Miami or Vice Versa $36 OW or $70 RT Nonstop Airfares on American Airlines BE (Travel September - F… https://t.co/gh76VRarQY
19,2020-08-12 17:34:35,,,1293601788596293636,"RT @calebjermalee: Flying with delta all my life has me spoiled, American Airlines ass asf"
20,2020-08-12 17:34:18,,,1293601720979922951,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
21,2020-08-12 17:33:33,In between ya girls legs ;) ,,1293601530822754306,Really disappointed that American Airlines isn’t socially distancing their flights and are booking them three peopl… https://t.co/RnEN7foEYN
22,2020-08-12 17:31:22,Global,,1293600981897240576,American Airlines to restore hot-food service at lounges https://t.co/dn2HHs4c9H @thepointsguy #airtravel #airports… https://t.co/6TUlS8Cv6X
23,2020-08-12 17:30:39,"Pittsburgh, Pa.",,1293600799852040193,American Airlines employees get five more days to make 'significant decision' on their futures https://t.co/mcUYIECkbB
24,2020-08-12 17:29:59,Idaho,,1293600633300217856,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
25,2020-08-12 17:29:26,36.1927639 ; -115.329779,,1293600493260824578,"@AmericanAir @Washerein17 No, it is a rule that @AmericaAir make all passengers comply, it’s not about suggesting a… https://t.co/LBotbLbeWP"
26,2020-08-12 17:29:14,,,1293600443722014721,New Face Covering Guidelines for Customer and Team Member Safety: Exhaust Valves or Vents will No Longer be Allowed https://t.co/MReRaCClS5
27,2020-08-12 17:28:24," Lagos, Nigeria",,1293600235894308873,"RT @Chris_Manno: People keep asking me why I didn’t leave American Airlines with a water cannon salute after 35 years as a pilot. 

Besides…"
28,2020-08-12 17:27:10,"Tijuana, Baja California",,1293599923837915136,It’s like American Airlines hires the same people as Walmart I swear
29,2020-08-12 17:26:14,,,1293599689934176258,"@RAM_Maroc My flight has been canceled many times because of you. I am still stuck in Los Angeles, because you canc… https://t.co/NaRxp129i3"
30,2020-08-12 17:25:16,"Georgia, USA",,1293599447188996096,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
31,2020-08-12 17:25:14,"Dallas, TX",,1293599436157988864,American Airlines #2223 flight information has changed   Arrival Gate is now H10   https://t.co/qsfmU28U0k #flightaware
32,2020-08-12 17:22:51,Anywhere but Hell-ywood,,1293598838050103296,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
33,2020-08-12 17:22:13,,,1293598679182409728,i’m an american airlines million miler.  👌🏾😊
34,2020-08-12 17:20:15,,,1293598184107843587,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
35,2020-08-12 17:19:34,"Los Angeles, CA",,1293598010702610434,"American Airlines flight #AAL2882 spotted at 22,300 feet! https://t.co/UU2FII1DTf"
36,2020-08-12 17:16:32,,,1293597247662362631,RT @Ame3lie: @SecPompeo To #LiftTheTravelBan on Europeans would also mean helping American &amp; European airlines to get back on their feet. L…
37,2020-08-12 17:13:30,"Dallas, TX",,1293596484911464449,American Airlines #2223 flight information has changed   Arrival Gate is now H9   https://t.co/qsfmU28U0k #flightaware
38,2020-08-12 17:13:10,,,1293596399062450176,RT @moodvintage: American Airlines stewardess 1967 https://t.co/PKtzE7acWc
39,2020-08-12 17:13:09,"Georgia, USA",,1293596395144916997,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
40,2020-08-12 17:11:22,"Los Angeles, CA",,1293595945909620736,American Airlines flight #AAL1925 spotted at 450 feet! https://t.co/tEDzItwU7g
41,2020-08-12 17:10:54,,,1293595828930699265,@Lets_Go_Hawks Are you booking with SAS? I booked with American Airlines Boston-London-Stockholm back in July but i… https://t.co/q2VDvZxEbA
42,2020-08-12 17:08:53,"Mountains, Lake Almanor, CA",,1293595322883567616,RT @Dellaslongbrown: @JesseRodriguez @NBCNews Wake up Oklahoma! Jim Inhofe blew off meetings with Local Union reps from American Airlines t…
43,2020-08-12 17:08:29,,,1293595222912376832,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
44,2020-08-12 17:05:28,Tarrytown,,1293594462933913610,NEADS Hunt For American Airlines  Flight 11 After It Had Hit The WTC (9/11 Commission Draft) https://t.co/ComasaPYDW
45,2020-08-12 17:05:23,"Los Angeles, CA",,1293594443132489729,American Airlines flight #AAL767 spotted at 300 feet! https://t.co/pFCifwPVn9
46,2020-08-12 17:03:25,"California, USA",,1293593945209896960,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
47,2020-08-12 17:03:09,"Los Angeles, CA",,1293593881980710912,"American Airlines flight #AAL1602 spotted at 27,200 feet! https://t.co/SbsqMKnrdY"
48,2020-08-12 17:02:00,"Los Angeles, CA",,1293593589495128064,"American Airlines flight #AAL2402 spotted at 1,900 feet! https://t.co/v70UdYZCfl"
49,2020-08-12 16:58:40,BALTIMORE ,,1293592753130147840,I hate American Airlines 💯
50,2020-08-12 16:58:36,,,1293592735316946950,"RT @skiermichael: ""I know it is hard being a cop, but some jobs can't have bad apples, everybody gotta be good...like pilots. American Airl…"
51,2020-08-12 16:58:14,"Fort Myers, FL",,1293592643268685824,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
52,2020-08-12 16:57:43,,,1293592513186390016,RT @RRobledo3434: @DavidJHarrisJr I banned American Airlines....btw...they don't deserve the name..
53,2020-08-12 16:56:24,,,1293592181823995905,@hunter keay American Airlines earnings report July 2020. Surprised the Board did t remove Mr Parker after the call
54,2020-08-12 16:55:43,"Dublin, California",,1293592009425395712,@DavidJHarrisJr Did you ever find out what was up with American airlines?
55,2020-08-12 16:54:56,BC Canada,,1293591811055706112,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
56,2020-08-12 16:53:45,"Los Angeles, CA",,1293591513151283203,[#AmericanAirlines] Extends travel waiver to December 31 https://t.co/yS19iT1zu3
57,2020-08-12 16:51:59,"New York, NY",,1293591071738519552,"@merica @betsy_klein Also lol CNN reporters, they're everywhere: ""Around 11 a.m., Kaine stepped off of American Air… https://t.co/kOljIJCpib"
58,2020-08-12 16:51:35,"North Carolina , USA",,1293590969284255744,People are getting mad at American airlines for demanding passengers to wear mask. Why book it if you know its mand… https://t.co/hm3zHpkbNt
59,2020-08-12 16:50:44,,,1293590755072565248,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
60,2020-08-12 16:49:39,,,1293590484082806784,@DavidJHarrisJr @AmericanAir American airlines is a totally useless airlines that is incompetent and discriminatory… https://t.co/epDWSamSOp
61,2020-08-12 16:49:21,,,1293590409059405827,If you are traveling during covid don’t fly with American Airlines
62,2020-08-12 16:47:34,United States,,1293589956980613122,We had to get our credit card company involved to get American Airlines to refund tickets through a months long dis… https://t.co/ZgqUCk9XJU
63,2020-08-12 16:47:28,Michigan,,1293589931714064389,"RT @skiermichael: ""I know it is hard being a cop, but some jobs can't have bad apples, everybody gotta be good...like pilots. American Airl…"
64,2020-08-12 16:46:03,Dallas,,1293589575718371329,"@TPDDavis They are not in the state of Texas, sir. There’s an exit on 35, when you get on the freeway from the Amer… https://t.co/qbIBRSc036"
65,2020-08-12 16:46:00,"Dallas, TX",,1293589563227734017,American Airlines Employees Get More Time To Decide On Voluntary Leave Offer https://t.co/LLD1ZSBBX6
66,2020-08-12 16:45:49,"Los Angeles, CA",,1293589517127921666,"American Airlines flight #AAL2811 spotted at 1,750 feet! https://t.co/YsvKcNYswV"
67,2020-08-12 16:44:18,Greater Los Angeles,,1293589134762577920,"""I know it is hard being a cop, but some jobs can't have bad apples, everybody gotta be good...like pilots. America… https://t.co/yA6U9UUL9u"
68,2020-08-12 16:42:15,,,1293588619802947586,@PhilipRChapman1 American Airlines Idol
69,2020-08-12 16:42:07,,,1293588587800297480,"@itssamlou_ Partly. Virgin Atlantic from what I have seen, they only own 20% of Virgin Holidays. Delta Airlines own… https://t.co/X3bmjrOCWS"
70,2020-08-12 16:41:14,"Los Angeles, CA",,1293588362608033792,"American Airlines flight #AAL1 spotted at 31,775 feet! https://t.co/Qgav54RKjL"
71,2020-08-12 16:39:39,,,1293587964895920128,Yep  - especially American Airlines - they are only giving limited future credit.  ⁦@AmericanAir⁩ 😡😡😡not customer f… https://t.co/d9YIjbQP0L
72,2020-08-12 16:39:34,Green Bay,,1293587945434341376,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
73,2020-08-12 16:36:46,Maryland ,,1293587241797853185,American Airlines says what? https://t.co/vP3s01oOhA
74,2020-08-12 16:32:38,🌵Phoenix & sometimes🌻🇩🇪🌎,,1293586199601270784,"A heads up from my inbox: if you're flying AA, they're following SWA in banning masks with those exhaust valves https://t.co/GgvKe5Eo9L"
75,2020-08-12 16:32:20,"Florida, USA",,1293586125081247744,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
76,2020-08-12 16:31:37,"Los Angeles, CA",,1293585945745174528,"American Airlines flight #AAL639 spotted at 16,450 feet! https://t.co/DNWwkJTHPs"
77,2020-08-12 16:30:11,"Los Angeles, CA",,1293585583952945152,"American Airlines flight #AAL971 spotted at 23,050 feet! https://t.co/uqXnFlAP8o"
78,2020-08-12 16:27:35,"Las Vegas, NV",,1293584929536634881,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
79,2020-08-12 16:26:29,"Kentucky, USA",,1293584653421608960,RT @moodvintage: American Airlines stewardess 1967 https://t.co/PKtzE7acWc
80,2020-08-12 16:25:44,"Neptune Beach, Florida, USA 🇺🇸",,1293584464791166982,RT @PilotWingPin: American Airlines Lounges Are Serving Hot Meals Again — Here's How They'll Be Different: https://t.co/l7ZI3w9RD5 RT @Trav…
81,2020-08-12 16:24:55,"Los Angeles, CA",,1293584258133450752,"American Airlines flight #AAL2511 spotted at 3,100 feet! https://t.co/Zm0NYAlyNf"
82,2020-08-12 16:23:23,,,1293583872752574466,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
83,2020-08-12 16:20:07,"Los Angeles, CA",,1293583050673020928,"American Airlines flight #AAL777 spotted at 2,225 feet! https://t.co/3AimNMcJ2K"
84,2020-08-12 16:20:00,USA,,1293583020042010624,American Airlines has a new offer available for select AAdvantage members who can earn double Million Miler qualify… https://t.co/NjqVS3fdp5
85,2020-08-12 16:18:26,"Terre Haute, IN",,1293582626389921794,WorldALNews: Exhaust valves or vents will no longer be allowed on American Airlines https://t.co/1hVADLASht
86,2020-08-12 16:17:39,"Los Angeles, CA",,1293582431388200960,American Airlines flight #AAL1029 spotted at 900 feet! https://t.co/EmKmIKKgo6
87,2020-08-12 16:12:09,central penn college,,1293581044432674817,I guess American Airlines can go suck one cause I’m sick of them
88,2020-08-12 16:10:33,GLOBAL,,1293580644501434368,AMERICAN AIRLINES GROUP INC - #AAL chart https://t.co/mATSv12h8k
89,2020-08-12 16:10:06,,,1293580528965345281,RT @moodvintage: American Airlines stewardess 1967 https://t.co/PKtzE7acWc
90,2020-08-12 16:07:53,"Los Angeles, CA",,1293579970971803649,"American Airlines flight #AAL2255 spotted at 8,750 feet! https://t.co/JzerEOHQra"
91,2020-08-12 16:06:23,United States,,1293579594394750977,Nazi/ American Airlines has drawn a line with medical exemption on masks? https://t.co/HN6av89y68
92,2020-08-12 16:03:32,,,1293578877072269313,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
93,2020-08-12 16:02:52,,,1293578707957940224,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
94,2020-08-12 16:02:02,,,1293578498095878147,"RT @DavidJHarrisJr: The (UN)American Airlines banned me.
https://t.co/6mdcUmB4Sk"
95,2020-08-12 16:01:38,Worldwide,,1293578399223513090,RT @6bladegun: #planespotting #aviation #airport #aviationgeek #megaaviation #airlines #aviationlover #aviationdaily Boeing 737-800 Operati…
96,2020-08-12 15:59:34,Texas,,1293577877485694977,@just12349102220 @cindyhess32 @DavidJHarrisJr Every freedom loving American should just drive and boycott the airli… https://t.co/QBR9NGD3VA
97,2020-08-12 15:58:57,"New York, USA",,1293577725651886082,"RT @calebjermalee: Flying with delta all my life has me spoiled, American Airlines ass asf"
98,2020-08-12 15:57:57,Germany,,1293577472311787524,RT @6bladegun: #planespotting #aviation #airport #aviationgeek #megaaviation #airlines #aviationlover #aviationdaily Boeing 737-800 Operati…
99,2020-08-12 15:57:55,CA,,1293577463084142592,@DavidJHarrisJr There is NO LEGITIMATE MEDICAL REASON TO REFUSE TO WEAR A MASK IN A DEADLY PANDEMIC. ZERO.American… https://t.co/pMhtc2bsJx
