,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 15:33:00,Montana ,,1293933580511375360,American Airlines becomes the final major US carrier to ban masks with valves https://t.co/KohsCUvl6K #SmartNews
1,2020-08-13 15:32:36,"Bakersfield, CA",,1293933479986593792,AMERICAN AIRLINES: American Airlines is set to eliminate flights to more than two dozen small and medium cities as… https://t.co/5Kkw3Yvy6o
2,2020-08-13 15:32:05,Phoenix (North Dakota native),,1293933351217164288,RT @RudyRivasAZ: PD: Woman hits American Airlines employee after being told to wear a mask in Phoenix https://t.co/HG7aTW4SYa https://t.co/…
3,2020-08-13 15:31:21,Hell’s waiting room,,1293933166915452934,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
4,2020-08-13 15:29:40,,,1293932741634019328,American Airlines prepares to drop some service to smaller cities as expiration of federal aid nears https://t.co/kPI3aumY7k
5,2020-08-13 15:29:23,"California, USA",,1293932672012541953,RT @DemocracyInn: BREAKING: Passenger allegedly hits American Airlines gate agent after boarding denied for not wearing a mask
6,2020-08-13 15:28:30,"In another box, USA.",,1293932449811103744,RT @msuyoshi: Remember when I made the American Airlines stock drop https://t.co/wUGZDv7XYE
7,2020-08-13 15:28:04,"Bakersfield, CA",,1293932338141900805,RT @mikecnews: Woman hits Phoenix airport gate agent after being denied boarding for not wearing a mask.  https://t.co/YSPT9WuPg2 via @azce…
8,2020-08-13 15:27:10,"Florida, USA",,1293932111527677954,American Airlines prepares to drop some service to smaller cities as expiration of federal aid nears… https://t.co/LDz4x24D8D
9,2020-08-13 15:27:01,"Indianapolis, IN",,1293932075440013313,RT @CBS4Indy: Report: American Airlines to eliminate flights to small cities https://t.co/bxcncsxduX
10,2020-08-13 15:26:39,"Charlotte, NC",,1293931982444007425,.@AmericanAir is set to eliminate flights to more than two dozen small and medium cities as federal coronavirus aid… https://t.co/Tx8b6exbYL
11,2020-08-13 15:26:26,"New Orleans, LA",,1293931926550646785,Report: American Airlines set to drop flights to as many as 30 smaller cities https://t.co/d9VYBZzqNc
12,2020-08-13 15:26:13,"Norfolk,VA",,1293931873819860992,"I can’t wait to get my bag up where i want it to be so i can do this for my baby, but for now we flying American or… https://t.co/QDG7Qe7M7a"
13,2020-08-13 15:25:35,"Elmira, NY",,1293931715333955584,American Airlines is set to eliminate flights to more than two dozen small and medium cities as federal coronavirus… https://t.co/5I8gKhoFAP
14,2020-08-13 15:25:33,"Indianapolis, IN",,1293931706970443777,Report: American Airlines to eliminate flights to small cities https://t.co/bxcncsxduX
15,2020-08-13 15:25:21,"Montana, USA",,1293931654893858816,RT @CNBC: American Airlines prepares to drop some service to smaller cities as expiration of federal aid nears https://t.co/LZCpXbRMBl
16,2020-08-13 15:24:01,"Los Angeles, CA",,1293931319294976002,"American Airlines flight #AAL2 spotted at 21,150 feet! https://t.co/oxCEqhi7Nu"
17,2020-08-13 15:23:56,"St. Louis, Missouri",,1293931301423259649,Report: American Airlines set to drop flights to as many as 30 smaller cities https://t.co/6eUlxlG9uk
18,2020-08-13 15:23:55,,,1293931294674563073,RT @DeanObeidallah: This is all Trump and GOP for refusing to extend relief benefits: American Airlines prepares to drop some service to sm…
