,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 01:32:08,,,1293721969976737792,"RT @BTS_twt: Good night😁
#JIMIN https://t.co/j3zUnDdEQr"
1,2020-08-13 01:31:45,,,1293721875605061633,@SharkieBix YOU ARE THE ONE THAT BROUGHT ME INTO EXISTENCE BY KICKING DAL AND GETTING YOURSELF/ME JAILED
2,2020-08-13 01:31:24,"Toronto, Ontario",,1293721786207657984,"RT @amjedmbt: .@CPHydCity forwarding one more vedio against me threteninng &amp; abusing me, this is the 3rd abusive vedio in 48 hours, expecti…"
3,2020-08-13 01:31:22,"Forney, TX",,1293721776996986882,"RT @JonahTulsNFL: This DAL defensive line/pass rush has the potential to be elite. Give this front office credit where it’s due. 

Upgrades…"
4,2020-08-13 01:31:08,"Williamsport, MD USA",,1293721720348606465,"@SJOblues @realBenjiirby @BuzzPatterson @KamalaHarris That was #42, not #45
Bill Clinton"
5,2020-08-13 01:31:04,Team Fortress 2,,1293721701591678977,RT @Rudro1432: $SPY $BABA $DVAX $ACB $OSTK $TRIL $LK $CODX $SAVE $GSX $INO $KSS $PENN $NVAX $NIO $AAL $NKLA $MSFT $AAPL $AMZN $TSLA $CCL $B…
6,2020-08-13 01:30:57,YG,,1293721671300288513,@yoonbinieben happy bdayy dal wish u all the bestt 🧡🧡
7,2020-08-13 01:30:57,,,1293721671292125184,RT @mxhabaig: me looking through all the memories i made this summer
8,2020-08-13 01:30:00,New york,,1293721432904495105,$SPY $BABA $DVAX $ACB $OSTK $TRIL $LK $CODX $SAVE $GSX $INO $KSS $PENN $NVAX $NIO $AAL $NKLA $MSFT $AAPL $AMZN… https://t.co/1uDKCuB66P
9,2020-08-13 01:29:50,$oufside,,1293721393155190786,"RT @Marcus_Mosher: @BenjaminSolak SF - but if the QB is better for DAL, it might not matter"
10,2020-08-13 01:29:39,,,1293721344459382788,RT @thaddeusss7: yall better vote man.
11,2020-08-13 01:29:34,"Williamsport, MD USA",,1293721323127083015,@GMA Black women have made Great accomplishments across America and in American government.
12,2020-08-13 01:29:20,동구래미,,1293721267011375109,"RT @BTS_twt: Good night😁
#JIMIN https://t.co/j3zUnDdEQr"
13,2020-08-13 01:29:12,,,1293721232064552965,RT @JohnOwning: Don't forget that George Edwards was Everon Griffen's DC with MIN. DAL knows exactly what they are getting.
14,2020-08-13 01:28:29,Kane County,,1293721049855647744,RT @ISBEnews: .@IDPH released a new FAQ explaining what to do if a student displays COVID-19 symptoms or a school experiences a positive ca…
15,2020-08-13 01:28:09,Twitter,,1293720966514671616,"RT @amjedmbt: .@CPHydCity forwarding one more vedio against me threteninng &amp; abusing me, this is the 3rd abusive vedio in 48 hours, expecti…"
16,2020-08-13 01:28:02,,,1293720937121144832,@BenjaminSolak Could prob say DAL is better at LB if both LVE and Jaylon are healthy
17,2020-08-13 01:27:53,"Sioux Falls, SD",,1293720901788278785,RT @JohnOwning: Don't forget that George Edwards was Everon Griffen's DC with MIN. DAL knows exactly what they are getting.
18,2020-08-13 01:27:44,"Williamsport, MD USA",,1293720861288038405,"@politico One more reason to Vote #Trump2020 
The Courts Just Okayed the Rule......

This is how Process works in a Democratic system."
19,2020-08-13 01:27:34,Texas,,1293720820049752064,"RT @JohnOwning: Off the top of my head, I can't think of a pass-rusher who's given Tyron Smith as many problems as Everson Griffen did this…"
20,2020-08-13 01:27:33,007 373 5963,,1293720817822507008,"@BenjaminSolak SF - but if the QB is better for DAL, it might not matter"
21,2020-08-13 01:27:02,"St Louis, MO",,1293720684573728801,@LouliganBird I get what you're saying but who is the bad guy here? ESPN for blacking them out? Local DAL/NSH stati… https://t.co/rCul75PVMx
22,2020-08-13 01:26:45,,,1293720613350072320,"RT @sevendless: Dal Di is wearing an Ars X Coco hoodie today! 🤍

#GOT7 #Youngjae @GOTYJ_Ars_Vita @GOT7Official https://t.co/YVEV0MZ7QC"
23,2020-08-13 01:26:35,,,1293720573995102209,"RT @DailyDalKim: [dal.kyum instagram update] 

""2020.08.12🐕‍🦺🐾
#dalkyum""

#GOT7 #yugyeom @real_Kimyugyeom https://t.co/aCzj0PHtfW"
24,2020-08-13 01:26:07,,,1293720454700716033,"$GOLD TEXTBOOK BOUNCE, DAILY

$ge $aapl $msft $aal $dis $dal $tsla $ccl $plug $nclh $snap $fit $ba $mrna $ual $amd… https://t.co/gkjP80PaB3"
25,2020-08-13 01:25:34,Vikings SB LV Parade,,1293720318448721922,Everson Griffen to DAL😭 Thx for the memories Griff😭😭😭😭😭
26,2020-08-13 01:25:33,"Los Angeles, CA",,1293720312811462656,@SharSaysSo Don’t this take you back sis? I was going down memory lane from DAL to HOU to MSY. Whew. The soundtrack itself &gt;&gt;&gt;&gt;
27,2020-08-13 01:25:02,Rockwall/DDD,,1293720183886970881,"RT @JohnOwning: Off the top of my head, I can't think of a pass-rusher who's given Tyron Smith as many problems as Everson Griffen did this…"
