,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 03:28:59,"New York, USA",,1293751377936683011,@aloverofblue CROOKED HILLARY AND CREEPY BILL ON DELTA AIRLINES ?? WHAT HAPPENED GUYS ? NO PRIVATE PLANE ? ARE YOU… https://t.co/YupscNCgFw
1,2020-08-13 03:21:28,23 | jew-ish | † | s/h | adhd,,1293749486267830272,RT @frasierverse: nick is delta airlines and we are collectively john mulaney
2,2020-08-13 03:21:22,boston / jersey,,1293749459717939201,guys im rushing delta airlines next semester wish me luck 😀
3,2020-08-13 03:20:08,"San Diego, CA",,1293749147569250304,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
4,2020-08-13 03:17:51,"Wisconsin, USA",,1293748574174547968,"RT @DrEricDing: 12) 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFronti…"
5,2020-08-13 03:17:13,,,1293748414694350848,"RT @DrEricDing: 12) 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFronti…"
6,2020-08-13 03:16:50,"Davis, CA",,1293748317738766337,"RT @DrEricDing: 12) 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFronti…"
7,2020-08-13 03:15:34,"Hastings, MN",,1293747998984253440,@CNN Ahh gee. How nice. It’s going to be a love fest for the next 3 months. Ugh. CNN won’t tell you the facts. Do y… https://t.co/GCv6n64vtJ
8,2020-08-13 03:13:24,"Los Angeles, CA",,1293747453393375232,Delta Airlines flight #DAL1285 spotted at 250 feet! https://t.co/jrFtAl87Mv
9,2020-08-13 03:07:02,"Missouri City, TX",,1293745854453551109,RT @frasierverse: nick is delta airlines and we are collectively john mulaney
10,2020-08-13 03:03:00,"Los Angeles, CA",,1293744837741522944,"Delta Airlines flight #DAL1838 spotted at 32,300 feet! https://t.co/N2iUEF4gIo"
11,2020-08-13 03:02:44,"Los Angeles, CA",,1293744771358314496,"Delta Airlines flight #DAL1067 spotted at 14,850 feet! https://t.co/0SosSzsjio"
12,2020-08-13 02:56:33,"Montgomery Village, MD ",,1293743215523364869,@doctuh_p hey you have delta airlines credit card right?
13,2020-08-13 02:56:28,USA,,1293743191393333249,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
14,2020-08-13 02:56:19,USA,,1293743154584158208,@DrEricDing @shailjapatel @HawaiianAir @JetBlue @Delta @AlaskaAir @FlyFrontier @SouthwestAir @united @AmericanAir… https://t.co/szVy4sH3hH
15,2020-08-13 02:51:45,"Miami, FL",,1293742007190462466,RT @frasierverse: nick is delta airlines and we are collectively john mulaney
16,2020-08-13 02:50:27,"Coastal Georgia, USA",,1293741679367933958,"""She (Harris) comes into this with more baggage than Delta Airlines on Thanksgiving weekend,"" said @GovMikeHuckabee… https://t.co/1CZortWP0g"
17,2020-08-13 02:49:32,"California, USA",,1293741448580366336,"@GOPChairwoman Just like Governor Huckabee related, she has more baggage than Delta Airlines!"
18,2020-08-13 02:49:17,"Atlanta, GA",,1293741385204600833,“Kamala Harris brings more baggage than Delta Airlines on Thanksgiving weekend!”                 - Governor Huckabee
19,2020-08-13 02:48:09,,,1293741102282027008,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
20,2020-08-13 02:47:00,,,1293740811855826944,"@DailyCaller @GStephanopoulos @GovMikeHuckabee just said
She has more baggage than Delta airlines on Thanksgiving weekend."
21,2020-08-13 02:46:27,,,1293740672705421312,"Gov Huckabee on Harris coming in as VP👉""She's coming in with more baggage than Delta airlines"" #ThisWinsTheInternetToday"
