,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 03:21:20,"Texas, USA",,1293749453158076416,@Sheen2Clean JetBlue
1,2020-08-13 03:20:08,"San Diego, CA",,1293749147569250304,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
2,2020-08-13 03:18:02,"Orlando, FL",,1293748620190273536,Fun fact! She was a flight attendant for Jetblue for years 💙 https://t.co/souVdAXibW
3,2020-08-13 03:17:51,"Wisconsin, USA",,1293748574174547968,"RT @DrEricDing: 12) 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFronti…"
4,2020-08-13 03:17:13,,,1293748414694350848,"RT @DrEricDing: 12) 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFronti…"
5,2020-08-13 03:16:50,"Davis, CA",,1293748317738766337,"RT @DrEricDing: 12) 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFronti…"
6,2020-08-13 03:03:38,,,1293744995845828608,flights to new york round trip on jetblue are 170 rn and i might just have to do it
7,2020-08-13 02:56:28,USA,,1293743191393333249,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
8,2020-08-13 02:56:19,USA,,1293743154584158208,@DrEricDing @shailjapatel @HawaiianAir @JetBlue @Delta @AlaskaAir @FlyFrontier @SouthwestAir @united @AmericanAir… https://t.co/szVy4sH3hH
9,2020-08-13 02:55:52,ORD/SAF,,1293743042504130563,"@joesentme @hharteveldt @united @JetBlue @AmericanAir @Delta Florida as epicenter was July’s news, Joe.  We’ve move… https://t.co/drFZrWIFab"
10,2020-08-13 02:48:09,,,1293741102282027008,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
11,2020-08-13 02:37:22,"Denver, CO",,1293738387384541184,"@JetBlue kudos for safe traveling protocols, and especially for facilitating a perfect @NHLBruins playoff win just… https://t.co/VjBBrnETRw"
12,2020-08-13 02:32:06,,,1293737061321670657,"RT @DrEricDing: 12) 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFronti…"
13,2020-08-13 02:30:45,🌎 ✈️ ,,1293736722040098817,@UaTilton @RWMann @martysg @hharteveldt Let’s call this Kirby’s revenge against B6. You can’t launch Mint in EWR an… https://t.co/nlcMSBDRLB
14,2020-08-13 02:30:06,Brooklyn,,1293736557560696832,"This really have me weakk 😭😭
I told her it’s not JetBlue it’s really Keith https://t.co/a4TKq050aq"
15,2020-08-13 02:29:52,,,1293736497481502720,@MarissaShenicka @JetBlue I guess we'll just have to wait
16,2020-08-13 02:26:34,,,1293735669118799872,@cupcakeactivist Right? Maybe it was to try and bury their fraudulent purchase email notification. Too bad for them… https://t.co/h4QxySDfq5
17,2020-08-13 02:26:17,"Cleaning up dog/kid mess, USA",,1293735598923153408,"RT @DrEricDing: 4) “Meanwhile, other airlines realize that passengers feel more comfortable having as much space as feasible. Alaska, Delta…"
18,2020-08-13 02:25:11,"Cleaning up dog/kid mess, USA",,1293735318802370561,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
19,2020-08-13 02:24:59,Brooklyn,,1293735270509150209,@dariondesree @JetBlue It’s the “initially” for me
20,2020-08-13 02:23:06,"Butterfly Beach, CA",,1293734795315482625,@JetBlue @SenSchumer Got a DM from Jet Blue about my refund going 2credit bank &amp;it was immediately reviewed. W/In f… https://t.co/7KKn4UAdpH
21,2020-08-13 02:23:00,,,1293734772737339393,"RT @SilverbearHeart: Kay Whitmore - Famous Mormon
       Eastman Kodak. He was president of Koda1k from 1983-1993  Mormons led JetBlue, Ame…"
22,2020-08-13 02:16:24,Oz,,1293733111717482496,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
23,2020-08-13 02:11:11,,,1293731797499408386,"RT @SilverbearHeart: @LincolnsBible Worth checking if the Mormon Church owned Kodak stock. ""Kay Whitmore - Famous Mormon
       Eastman Kod…"
24,2020-08-13 02:11:04,Somewhere In UT,,1293731769204633602,"RT @SilverbearHeart: Kay Whitmore - Famous Mormon
       Eastman Kodak. He was president of Koda1k from 1983-1993  Mormons led JetBlue, Ame…"
25,2020-08-13 02:03:40,,,1293729904325013504,"RT @SilverbearHeart: Kay Whitmore - Famous Mormon
       Eastman Kodak. He was president of Koda1k from 1983-1993  Mormons led JetBlue, Ame…"
26,2020-08-13 01:59:55,,,1293728962082779136,"RT @SilverbearHeart: @LincolnsBible Worth checking if the Mormon Church owned Kodak stock. ""Kay Whitmore - Famous Mormon
       Eastman Kod…"
27,2020-08-13 01:57:05,"Minneapolis, MN",,1293728249047023617,"RT @RobertDwyer: Looking to visit family in Florida for the holidays? 15,000 bank points for United First Class beats $500 for JetBlue Econ…"
28,2020-08-13 01:56:53,"Vancouver, British Columbia",,1293728196601372676,"RT @SilverbearHeart: @LincolnsBible Worth checking if the Mormon Church owned Kodak stock. ""Kay Whitmore - Famous Mormon
       Eastman Kod…"
29,2020-08-13 01:55:41,,,1293727896868093954,"Kay Whitmore - Famous Mormon
       Eastman Kodak. He was president of Koda1k from 1983-1993  Mormons led JetBlue,… https://t.co/aOokDnCgsC"
30,2020-08-13 01:51:17,Northeast Pennsylvania,,1293726790771408900,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
31,2020-08-13 01:48:40,,,1293726130386735104,"RT @SilverbearHeart: Worth checking if the Mormon Church owned Kodak stock. ""Kay Whitmore - Famous Mormon
       Eastman Kodak. He was pres…"
32,2020-08-13 01:48:19,,,1293726044541857792,"Worth checking if the Mormon Church owned Kodak stock. ""Kay Whitmore - Famous Mormon
       Eastman Kodak. He was p… https://t.co/TsFMZzZpsY"
33,2020-08-13 01:48:03,,,1293725975713320961,"@LincolnsBible Worth checking if the Mormon Church owned Kodak stock. ""Kay Whitmore - Famous Mormon
       Eastman… https://t.co/OMeptQKUYw"
34,2020-08-13 01:46:12,"Los angeles, CA",,1293725508895563778,Been on this flight for over 3 hours and not one flight attendant has told her to put a mask on. Get it together… https://t.co/qLXqKK6hot
35,2020-08-13 01:46:09,Canada,,1293725499278196738,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
36,2020-08-13 01:36:30,,,1293723067462627336,@JetBlue been asking questions all day and everyone I’ve talked to has been so helpful! I just need to figure out h… https://t.co/WffqFGpfl6
37,2020-08-13 01:33:13,"Wellesley, MA",,1293722243747524608,"Looking to visit family in Florida for the holidays? 15,000 bank points for United First Class beats $500 for JetBl… https://t.co/RBCqzx5AFC"
38,2020-08-13 01:30:27,"Portland,  Oregon",,1293721544846217216,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
39,2020-08-13 01:29:43,,,1293721360179625984,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
40,2020-08-13 01:27:49,"Los Angeles, CA",,1293720882985054208,"JetBlue Airways flight #JBU23 spotted at 22,825 feet! https://t.co/y7BLl0uRsS"
41,2020-08-13 01:26:20,,,1293720511076278272,Views Out Of Cabin Window. #JetBlue Take off From #JFK in #NYC + Landing At #Buffalo #Airport.… https://t.co/0dmGwaWwpM
42,2020-08-13 01:21:31,deepintheheartofTX,,1293719297060220928,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
43,2020-08-13 01:20:43,,,1293719095154794497,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
44,2020-08-13 01:20:32,Chicago,,1293719049894060037,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
45,2020-08-13 01:19:03,"Maine, USA",,1293718678098399233,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
46,2020-08-13 01:18:24,"College Park, MD",,1293718511915859968,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
47,2020-08-13 01:18:21,"Los Angeles, CA",,1293718499475378176,"JetBlue Airways flight #JBU687 spotted at 26,475 feet! https://t.co/v9CgPftsod"
48,2020-08-13 01:15:12,,,1293717708287041537,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
49,2020-08-13 01:14:10,,,1293717447661453313,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
50,2020-08-13 01:13:36,,,1293717305889882114,@DrEricDing @HawaiianAir @JetBlue @Delta @AlaskaAir @FlyFrontier @SouthwestAir @united @AmericanAir @SpiritAirlines… https://t.co/zaHgwc2Era
51,2020-08-13 01:13:08,,,1293717187207757826,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
52,2020-08-13 01:12:40,#WeAreBeingGaslighted,,1293717071767969792,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
53,2020-08-13 01:12:25,,,1293717009566298113,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
54,2020-08-13 01:11:28,"Canóvanas/San Juan, PR",,1293716771170594823,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
