,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 15:29:31,,,1293932706095665152,Cause Mr.Swank is taking a vacay with my jetblue credit fam! 🤞🏾
1,2020-08-13 15:19:22,"Dallas, TX",,1293930152074850305,More airlines strengthens their mask policy. https://t.co/K4MPJiYBal
2,2020-08-13 15:18:07,"Kalamazoo, MI",,1293929833987276800,#ICA20 went virtual. Trip to Australia was cancelled. I bought @JetBlue snack packs from @imperfect_foods to recrea… https://t.co/c5rfF9yYyK
3,2020-08-13 15:17:31,"Los Angeles, CA",,1293929686574088193,"JetBlue Airways flight #JBU2801 spotted at 36,525 feet! https://t.co/wyVD3Jwwnl"
4,2020-08-13 15:16:18,Germany France Spain Italy AEX,,1293929376501858305,JetBlue is the First U.S. Airline to Commit to and Achieve Carbon Neutrality for All Domestic Flying | Business Wir… https://t.co/nng31zjkDz
5,2020-08-13 15:12:50,"Las Vegas, NV",,1293928507882401792,JetBlue is the First U.S. Airline to Commit to and Achieve Carbon Neutrality for All Domestic Flying https://t.co/zcjj297rxy
6,2020-08-13 15:12:28,"south-west London, UK",,1293928415633047553,@NesteGlobal is supplying three airlines with #SAF for flights from San Francisco International Airport @flySFO… https://t.co/6pyxQHsPgU
7,2020-08-13 15:09:36,"New York, NY",,1293927690484031489,"RT @JetBlue: Speaking of sustainability, all of our domestic flights are carbon neutral. What’s your favorite sustainability travel hack? L…"
8,2020-08-13 15:09:13,"Montréal, Québec",,1293927594006589440,"@JauhiainenSami @AlaskaAir @AmericanAir @JetBlue @NesteGlobal Terrific news, thanks for sharing!"
9,2020-08-13 15:08:48,"Montréal, Québec",,1293927490352603137,RT @JauhiainenSami: .@AlaskaAir @AmericanAir @JetBlue are reducing their CO2 emissions with @NesteGlobal's sustainable aviation fuel (#SAF)…
10,2020-08-13 15:07:48,"Los Angeles, CA",,1293927241089339393,"JetBlue Airways flight #JBU1874 spotted at 13,975 feet! https://t.co/Yw0yZkS8Dp"
11,2020-08-13 15:06:02,Global,,1293926794664411141,JetBlue Is the First U.S. Airline to Commit to and Achieve Carbon Neutrality for All Domestic Flying https://t.co/knkWekfUIz
12,2020-08-13 15:04:14,1-800-JETBLUE,,1293926341822287878,"@naturmanb Sorry to hear this, Ben. Are you able to send us your six-letter confirmation code via DM? https://t.co/xSmyP7Lfyg"
13,2020-08-13 15:01:04,,,1293925545823141890,@celtics @JetBlue @Grant2Will @phillybul_22 Should we trust you guys with those predicted lineup all over. I trust you
14,2020-08-13 15:00:43,All AROUND THE WORLD,,1293925455888822273,RT @MONEYEMPIRE: JetBlue is the First U.S. Airline to Commit to and Achieve Carbon Neutrality for All Domestic Flying   $GEVO ETHONOL  PLAY…
15,2020-08-13 15:00:28,,,1293925391879614464,It pays to be in @unitetheunion https://t.co/WoAnbVzbL0 https://t.co/vM68neD5Ky
16,2020-08-13 14:59:49,NYSE,,1293925231443288065,RT @MONEYEMPIRE: JetBlue is the First U.S. Airline to Commit to and Achieve Carbon Neutrality for All Domestic Flying   $GEVO ETHONOL  PLAY…
17,2020-08-13 14:59:34,NYSE,,1293925167492739074,RT @MullinsMomentum: $GEVO I took some on this article about Jetblue. They are investing in Sustainable Aviation Fuel. Chart is really low…
18,2020-08-13 14:59:28,,,1293925142217633797,New post (JetBlue is the First U.S. Airline to Commit to and Achieve Carbon Neutrality for All Domestic Flying) has… https://t.co/bsLUHgb2Xn
19,2020-08-13 14:58:53,,,1293924996964917250,"RT @naturmanb: @JetBlue I have been trying to cancel a flight to Aruba for months, with 0 success. We booked through Chase, so we had to ca…"
