,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 05:30:03,,,1293781842445963264,JetBlue Introduces Honeywell’s Ultraviolet Cleaning Systems for Airplane Interiors https://t.co/VBW52gKilV
1,2020-08-13 05:29:20,"Boca del Río, Veracruz de Igna",,1293781663701319680,"RT @DrEricDing: 4) “Meanwhile, other airlines realize that passengers feel more comfortable having as much space as feasible. Alaska, Delta…"
2,2020-08-13 05:28:51,"Boca del Río, Veracruz de Igna",,1293781541680644096,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
3,2020-08-13 05:28:48,Global,,1293781527185195008,RT @airports_hotels: Hotels near La Guardia airport in New York #flights #transit #travel #airportlife #AmericanAirlines #Delta #FrontierAi…
4,2020-08-13 05:26:11,"Lake Havasu City, Az. 86406",,1293780869597949953,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
5,2020-08-13 05:20:01,United States,,1293779316992544769,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
6,2020-08-13 05:16:34,"New York, NY",,1293778451443458048,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
7,2020-08-13 05:14:24,San Francisco,,1293777906091487232,"@scottinOAK @united @JetBlue @AmericanAir @Delta Unlikely. This is, in part, a competitive response to JetBlue expa… https://t.co/DkaRsVi2CV"
8,2020-08-13 05:10:40,planet earth,,1293776967112654848,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
9,2020-08-13 05:10:23,"Vancouver, British Columbia",,1293776894031097856,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
10,2020-08-13 05:04:13,San Francisco Bay,,1293775342386081797,@hharteveldt @united @JetBlue @AmericanAir @Delta Has COVID-19 ushered in a new era of point-to-point flying?
11,2020-08-13 05:03:47,"Vancouver, British Columbia",,1293775234776961024,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
12,2020-08-13 05:01:47,Lord Willin Track 3,,1293774730588311554,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
13,2020-08-13 05:01:12,"Orlando, FL",,1293774584131485696,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
14,2020-08-13 04:58:08,"Boulder, Colorado",,1293773811767226370,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
15,2020-08-13 04:57:08,"Los Angeles, CA",,1293773560536633345,"JetBlue Airways flight #JBU224 spotted at 2,350 feet! https://t.co/XuVVVBEXHl"
16,2020-08-13 04:56:45,,,1293773465019912192,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
17,2020-08-13 04:55:23,"Delhi, India",,1293773118897561601,Boeing and JetBlue Invested in a Electric-Jet to Revolutionize Air Travel https://t.co/eTQusKjxt2
18,2020-08-13 04:54:44,"Ottawa, Ontario",,1293772956015919111,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
19,2020-08-13 04:54:06,United States,,1293772794883383299,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
20,2020-08-13 04:52:42,"Las Vegas, NV",,1293772445350993923,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
21,2020-08-13 04:51:21,"Monterrey, Nuevo León",,1293772104215609344,@DrEricDing @HawaiianAir @JetBlue @Delta @AlaskaAir @FlyFrontier @SouthwestAir @united @AmericanAir @SpiritAirlines… https://t.co/a8C3HBmA2t
22,2020-08-13 04:50:10,"Tucson, AZ",,1293771806889799680,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
23,2020-08-13 04:49:31,"Haleiwa, HI",,1293771641458024453,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
24,2020-08-13 04:48:43,"Kansas City, Missouri",,1293771443495251969,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
25,2020-08-13 04:48:13,"San Francisco, CA",,1293771316458184704,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
26,2020-08-13 04:45:45,,,1293770693193216002,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
27,2020-08-13 04:45:13,USA,,1293770562922319872,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
28,2020-08-13 04:44:42,El país de la simulación,,1293770430747213826,@DrEricDing @HawaiianAir @JetBlue @Delta @AlaskaAir @FlyFrontier @SouthwestAir @united @AmericanAir @SpiritAirlines… https://t.co/pe2ch6zXDl
29,2020-08-13 04:43:38,El país de la simulación,,1293770164442406912,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
30,2020-08-13 04:43:32,AZ,,1293770135870664704,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
31,2020-08-13 04:42:38,Washington DC & Virginia,,1293769911395917824,"RT @DrEricDing: 📌Airlines that block middle 💺
@HawaiianAir 
@JetBlue 
@Delta 

📌Airlines that block some middle 💺
@AlaskaAir
@FlyFrontier…"
32,2020-08-13 04:40:12,"London, UK",,1293769297312002053,RT @Shahhsanket: @drkomanduri @British_Airways Same with @JetBlue they would not issue a refund and infact forcing me to use my credit by D…
33,2020-08-13 04:20:04,"Lysander, NY",,1293764229833662464,@APMike I was on a @JetBlue flight with Ben Gazzara once. #truestory
