,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 01:32:21,"Córdoba, Argentina",,1293722023693352961,We luv our queen &lt;3
1,2020-08-13 01:32:21,+65 | she/her | fan acc,,1293722023462465537,@hwnnghynjinn blue carpet is at 4pm kst and the awards ceremony is at 6.40pm kst !!
2,2020-08-13 01:32:20,🇮🇩,,1293722020765503490,@strwbrrypeach_ Luv u too 🥰❤️💕✨💖
3,2020-08-13 01:32:20,"Bay Area, California",,1293722019985420288,One that can handle your attitude: 🥰💝🤪💕😏💞😘💘😋💗😉💓☺️💖 (I luv dat guy)
4,2020-08-13 01:32:19,she/her,,1293722014373445632,RT @hotcrisis: im so in luv with her https://t.co/ChDpvUrOlE
5,2020-08-13 01:32:18,,,1293722012557488130,RT @JordynTrump1: I see. You can be racist against blacks ONLY if your target is a Republican. How shameful ⁦@DavidJHarrisJr⁩ that this hap…
6,2020-08-13 01:32:17,country side of,,1293722009369743364,@Seer_of_Saturn luv when ppl are familiar with supreme understanding. He has a few gems out here
7,2020-08-13 01:32:17,"Houston, TX",,1293722009336193024,RT @makeupbyshaniah: he fell in luv wit a lit b!tch🥶 https://t.co/a99KQo4u4x
8,2020-08-13 01:32:17,"Texas, USA",,1293722008845537280,RT @nikkiquartz: i luv mirror me &lt;3 shes so cute :* camera me can choke tho idk her
9,2020-08-13 01:32:14,,,1293721997151629313,RT @nikkiquartz: i luv mirror me &lt;3 shes so cute :* camera me can choke tho idk her
10,2020-08-13 01:32:14,US,,1293721994161078272,"RT @btsworldwider: .@BTS_twt 'Boy With Luv' MV has surpassed 886.3m views and 16.9m likes on Youtube.
https://t.co/1nAfhiYICZ"
11,2020-08-13 01:32:10,,,1293721978810007552,@timezinfinityx TEA. Tbag mid match and lost but whew chile you got me with those KBs. Keep it cute luv 💀
12,2020-08-13 01:32:10,,,1293721977719525377,@BB_Updates everyone rly pampering bay and day so they don't get the jackkk treatment........... we luv to see it !
13,2020-08-13 01:32:09,,,1293721976268300290,RT @TWEsq: Luv 2 be intellectually consistent. https://t.co/ohDlzloWaW
14,2020-08-13 01:32:08,she/her,,1293721970463383557,"RT @CHARMINGMYG: where’s my skool luv affair yoongi enthusiast at?? 

https://t.co/UeSBxAvwLZ"
15,2020-08-13 01:32:08,~ snk|bsd|tg|hq|hxh|fkbu|bl ~,,1293721968634662914,@takutaekyung thanks luv 😭💓💓💖💖💖
16,2020-08-13 01:32:07,LA,,1293721967686647810,@Luv_Erie Whaaaa why play with her like that?
17,2020-08-13 01:32:06,,,1293721963068715008,"RT @EtceteraArt: Minecraft is just a digital black hole which, instead of gravity, exerts a force of video game addiction. I believe that t…"
18,2020-08-13 01:32:06,"Largo, FL",,1293721961370198021,@jcksnxxx Thanks luv
19,2020-08-13 01:32:06,Moon ,,1293721960480829440,"RT @btsvotingorg: ARMY! ARMY! ARMY!

Voting reset at 1PM (KST) on #VMAs  . Have you used all your accounts? 🥺

#MTVHottest BTS (@BTS_twt)…"
20,2020-08-13 01:32:05,"Oregon, USA",,1293721958178123776,"RT @btsworldwider: .@BTS_twt 'Boy With Luv' MV has surpassed 886.3m views and 16.9m likes on Youtube.
https://t.co/1nAfhiYICZ"
21,2020-08-13 01:32:05,,,1293721957792284672,RT @aloverofblue: I just luv Tucker😉❤️😂 https://t.co/jK0aanMboY
22,2020-08-13 01:32:05,fan acct ; she/her,,1293721956869500928,"RT @CHARMINGMYG: where’s my skool luv affair yoongi enthusiast at?? 

https://t.co/UeSBxAvwLZ"
23,2020-08-13 01:32:05,Fuck if i know,,1293721955690926080,"hate feeling alienated cause of my own struggles...

goodnight fr i suppose

 im gonna just go enjoy some muv luv"
24,2020-08-13 01:32:03,,,1293721948959019008,"RT @allina_rheyn: Happy birthday to the sweetest and amazing person ever! Happy 21st (20th,) birthday Nana!!💞🥺 i luv u so muchhh💚🥺

#시즈니_존재…"
