,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-12 13:58:20,"West Java, Indonesia",,1293547368315408387,RT @q2han: 🤣🤣 luv you sis lol https://t.co/9RQE5qOzY9
1,2020-08-12 13:58:20,she/her 20,,1293547367933734913,buddy and 5soser. we love sauce. im sorry. —  https://t.co/Y9c8rHovys https://t.co/IviGpaaLwt
2,2020-08-12 13:58:19,India,,1293547365421297666,"Tagged by: @MoonieJoonieee 
Height: 5'3
Zodiac: Pisces ♓
Tattoo: 3 ! Will get more!
Colour: blues
Drink: any coffee… https://t.co/juyaa1a9qH"
3,2020-08-12 13:58:17,,,1293547357703938050,@janellebabie it’s the way i luv u&lt;3
4,2020-08-12 13:58:16,"Pune, India",,1293547353102721024,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
5,2020-08-12 13:58:15,she/her ,,1293547349780856832,@miluzivert we not edating we eWIFEYS
6,2020-08-12 13:58:15,,,1293547349692706818,RT @EgosShadow7: The goals per army is an awesome idea🥺. If you can reach these is awesome if you can do even more is up to you🥺 https://t.…
7,2020-08-12 13:58:14,"Charlotte, NC",,1293547345800552448,"I hate to put my goals on hold like that, but I’m making decent money right now and my health comes first"
8,2020-08-12 13:58:13,,,1293547341870272514,@greevitae luv uuuu💜
9,2020-08-12 13:58:13,moarmyeggie,,1293547340481982465,RT @bestjungwon: CAN WE ALL AGREE THAT THIS JUNGWON &gt;&gt;&gt;&gt;&gt;&gt; https://t.co/FDVuNjj9Qf
10,2020-08-12 13:58:13,South Africa,,1293547339257348107,@MsPoppy_luv Lol! Poppy 💀
11,2020-08-12 13:58:11,🌳🌽🍈🍇🍎🍐🍒🌾🦑🐟🦀🐮🐷🐔🐴,,1293547332659580928,"RT @00army_army00: #MTVHottest BTS
@BTS_twt 
Stay Gold Your eyes tell ON Boy With Luv https://t.co/UooJwX0bO8"
12,2020-08-12 13:58:11,México,,1293547330969276417,@TortaDeSal Cova gay nigguh but still luv him ❤ but still not as much as i luv the owner ❤😎
13,2020-08-12 13:58:10,"Atlanta, GA",,1293547329581133825,Southern what y’all got going on this early https://t.co/jKYDuhksMJ
14,2020-08-12 13:58:10,,,1293547327618035712,"RT @btsworldwider: .@BTS_twt Top 5 Spotify Daily
1. Boy With Luv — 484,230,076 (+525,539)
2. Stay Gold— 38,759,379 (+430,080)
3. ON — 115,2…"
15,2020-08-12 13:58:10,Eternally 7 ♡ she/her,,1293547326384902144,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
16,2020-08-12 13:58:08,"Derby, England",,1293547320018075649,RT @gibboblade98: @emilyjjharris Fancy saving a few lives luv haha x
17,2020-08-12 13:58:08,,,1293547319586037760,RT @chans_dimppie: Bangchan wrecking you even if he's your bias ; a thread https://t.co/u6q4YIslqD
18,2020-08-12 13:58:08,🌬⛰🏃🏽‍♀️🌿🧘🏾‍♀️☁️🏋🏾‍♀️∞,,1293547318818422787,i luv n a t u r e 🌿
19,2020-08-12 13:58:07,,,1293547316771725313,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
20,2020-08-12 13:58:07,     𝒍𝒐𝒗𝒆 𝒚𝒐𝒖𝒓𝒔𝒆𝒍𝒇,,1293547316733870080,@diornamite i luv u &lt;/3
21,2020-08-12 13:58:06,"Virginia Beach, VA",,1293547311394697218,RT @nikkiquartz: i luv mirror me &lt;3 shes so cute :* camera me can choke tho idk her
22,2020-08-12 13:58:05,she/her   i love txt.,,1293547306701053955,RT @ETERNlTYXT: that tiktok chinese street fashion trend but make it boy in luv yeonjun https://t.co/bzu0DAnkDM
23,2020-08-12 13:58:04,💜,,1293547302863347714,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
24,2020-08-12 13:58:04,Where i need to be ,,1293547301101871106,RT @jonathanboogles: @angelalonsdale @TonyGrounds @michkeegan @yvonnejfm You were an excellent accet to the team ang looking after your bea…
25,2020-08-12 13:58:03,𝔹𝕋𝕊 𝕨𝕠𝕣𝕝𝕕,,1293547299801505793,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
26,2020-08-12 13:58:03,,,1293547297616179200,@kengrrrr okie luv
27,2020-08-12 13:58:02,she/her 🪐,,1293547294848102401,@enderportaIs ifly! :D (i fucking luv u)
28,2020-08-12 13:58:02,sweetener world tour,,1293547294017630209,going to get the things to package everything up today and posting tomorrow 🤭🤪
29,2020-08-12 13:58:01,She/her,,1293547291647733760,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
30,2020-08-12 13:58:01,,,1293547289571516418,"RT @BTS_History613: 3 hours left ARMYS❗❗
#MTVHottest BTS @BTS_twt"
31,2020-08-12 13:57:58,,,1293547279320842241,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
32,2020-08-12 13:57:58,🇵🇭💜🇰🇷,,1293547275747287040,RT @gmcantave1: So #ARMY are we really gonna  let  Blackpink kill this love MV  reach 1B views before boy with luv which is at 900mil cuz..…
33,2020-08-12 13:57:57,,,1293547273872216064,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
34,2020-08-12 13:57:57,,,1293547272584691712,@ShanaeKyraDior @samearnsit he was talking about the joke luv 😂
35,2020-08-12 13:57:56,Diaspora,,1293547268767981571,@noladarling83 Gm luv
36,2020-08-12 13:57:54,Straight Outta Exit 11,,1293547262426206208,Frfr😂😂 https://t.co/nEc9pzKQzY
37,2020-08-12 13:57:54,Parañaque City,,1293547258625970177,I've said it before - Karla Estrada raised her kid right not because of the pressures of being a single mom but bec… https://t.co/WtLH8VWh6P
38,2020-08-12 13:57:53,,,1293547255279112202,@malwitdahoodie No luv I don’t
39,2020-08-12 13:57:53,,,1293547254981242880,"RT @ANKITHA0905: One promotional idea from my side hope u ppl considers it 🙂
@Simmi_99 @ShehnaazShineFC @Atul_Luv_Sana @harsh_offical_ @Kis…"
40,2020-08-12 13:57:53,Florida/New Jeresey,,1293547254683492353,ZOOM Workshop- Don't Let The Pandemic Steal Your Joy - Please join me in conjunction with the Florida Women's Busin… https://t.co/2uMUYgOwqF
41,2020-08-12 13:57:53,ウェスタロス,,1293547254536499200,RT @nerdist: Here's everything we know about the Targaryen-centric #GameOfThrones prequel House of the Dragon. https://t.co/Iwufmg11Eh
42,2020-08-12 13:57:52,"Frederiksted, Virgin Islands",,1293547253458710530,RT @ShonBaddAss: If I Find Something Funny Then Bitch Imma Laugh🤷🏾‍♀️
43,2020-08-12 13:57:52,,,1293547251185287172,"Get real calls by real pro.Big winning,Real-Time Charting, Mentoring &amp; Training https://t.co/sCun3ZeYpi

$WFC $CRON… https://t.co/o9z5pIJSqc"
44,2020-08-12 13:57:52,,,1293547251030097921,I luv to argue n fight
45,2020-08-12 13:57:52,,,1293547250056957953,RT @steveevaldez: vv grateful for my greatest gift this Christmas. luv u &lt;33 @kirstheI https://t.co/eyzkVLgNY4
46,2020-08-12 13:57:50,,,1293547243312566273,RT @BTS_twt: Can’t fall asleep😑 https://t.co/3XKxJuNUck
47,2020-08-12 13:57:50,,,1293547241865539584,"RT @billboardcharts: All of @BTS_twt's No. 1s on #WorldDigitalSongSales:

Fire
Blood Sweat &amp; Tears
Spring Day
Not Today
DNA
Mic Drop
Don't…"
48,2020-08-12 13:57:49,"Pennsylvania, USA",,1293547240540315648,"RT @RonSarkar: Friends, it’s Sober Day #69. Thanks for everything. Much luv. Enjoy your day. 🙏"
49,2020-08-12 13:57:49,,,1293547239579803651,RT @chayahaslanian: I’m so happy Louis got the line “sorry luv but I don’t really care” in happily
50,2020-08-12 13:57:49,,,1293547239424622592,@KDTrey5 u just a bron hating dweeb. U a scrub. Not top 20 all time. U an bum and nobody will ever luv u
51,2020-08-12 13:57:47,,,1293547232575201280,"RT @BTSChartDaily: 🎖️ Taehyung finally received his Weverse award 👏💜

#MTVHottest BTS (@BTS_twt)
https://t.co/UHx1pEPfXM"
52,2020-08-12 13:57:47,,,1293547232256376833,"RT @BTS_twt: 2020 WINTER PACKAGE
GOLDEN CLOSET FILM IN FINLAND
#JK #BTS

https://t.co/FDwwStr7Ai"
53,2020-08-12 13:57:47,시선의주인은 바로 너  Focus on you 모든 감각들이 너래 너 너 Focus on you 뛰는 내 가슴이 너래 너 너 처음이자 마지막 사랑 너이길 바란다면  욕심이니 내 욕심이니,,1293547232030011393,@luv___4eva omg thanks i didn’t even realise u could do that
54,2020-08-12 13:57:46,moarmyeggie,,1293547227051302912,RT @pocketsizesunoo: this is called the debut line 👌🏻 https://t.co/puRTE8cZWk
55,2020-08-12 13:57:45,BTS_𝔀𝓸𝓻𝓵𝓭_♡,,1293547222479433729,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
56,2020-08-12 13:57:45,Indonesia,,1293547221401473025,"@onedfess louis tomlinson talented
louis tomlinson amazing
louis tomlinson walls
louis tomlinson fabulous"
57,2020-08-12 13:57:44,Please check our pinned tweet ,,1293547220390875142,"RT @morkkult: wtt / wts
have: all about luv shownu ver 1
want: anything from 🌱 wl or $6 (concealed cash only)
loc: usa (stamped shipping) |…"
58,2020-08-12 13:57:44,,,1293547219757535232,it’s the media for me!! Keep folks out your game room luv 😘
59,2020-08-12 13:57:43,in 뀨's sparkly eyes,,1293547215508520960,"RT @agirlinthepark: [VLive] 
JM- A Poem For Small Things (Boy With Luv). I heard the fans said that since it's a poem for small things that…"
60,2020-08-12 13:57:43,"Bolton (originally Yorkshire)
",,1293547215085015040,"RT @LadyMercia: Dawn Butler police car stop: Met Police issue statement defending officers after backlash https://t.co/vjTygunZHZ 
So RACE…"
61,2020-08-12 13:57:43,🇵🇭,,1293547213805608960,thank u so much stays ❤️🥺❤️ luv u guys
62,2020-08-12 13:57:42,,,1293547211205120000,"RT @tuanyienloops: I got ur luv 💕
#MarkTuan #마크 #段宜恩 #GOT7 #갓세븐 #🐥💚🐰 @marktuan https://t.co/JaCeSCK9oG"
63,2020-08-12 13:57:41,,,1293547204947320832,RT @BTS_twt: Thanks Jimmy 🥰🎷🎷😄 https://t.co/RiJN6PoXjn
64,2020-08-12 13:57:41,Republic of the Philippines,,1293547204355878912,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
65,2020-08-12 13:57:40,🇵🇭,,1293547203055587334,Good night moots!! Sleep well! Luv yall!💗✨ https://t.co/AMgdRWOv11
66,2020-08-12 13:57:40,,,1293547199725477889,RT @Baghdad10k: @_Quierraaa_ Preciate you my luv 🖤
67,2020-08-12 13:57:38,she/her,,1293547191898791937,"RT @btsworldwider: .@BTS_twt Top 5 Spotify Daily
1. Boy With Luv — 484,230,076 (+525,539)
2. Stay Gold— 38,759,379 (+430,080)
3. ON — 115,2…"
68,2020-08-12 13:57:34,France ,,1293547177797726213,@getwellsoon_luv oh greatttt
69,2020-08-12 13:57:34,she/her 20,,1293547175536816128,ohhh. she looks so perfect vs navillera — ok umm navillera.. slsp is great but the lyrics kinda dumb 💀  https://t.co/BqPKrD5O4M
70,2020-08-12 13:57:33,,,1293547174060421120,"RT @btsworldwider: .@BTS_twt Top 5 Spotify Daily
1. Boy With Luv — 484,230,076 (+525,539)
2. Stay Gold— 38,759,379 (+430,080)
3. ON — 115,2…"
71,2020-08-12 13:57:33,,,1293547172277784576,"RT @u4eakooks_net: a bit late but since it's been a year since 190811 lotte family concert 😆

here are some comments from knetz under this…"
72,2020-08-12 13:57:32,,,1293547168200929285,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
73,2020-08-12 13:57:31,,,1293547164593840129,"@nirajaghera1 @_aisikitaisi_ sir, i luv your header"
74,2020-08-12 13:57:30,𝖇𝖆 •𝘫𝘢𝘺𝘦 𝘮𝘪𝘯 ♡ 𝖘𝖇,,1293547160055808002,@katrenvibe THANK U LUV 🥰
75,2020-08-12 13:57:30,stayalice • kinda sellective,,1293547158612791296,I luv u @.subin
76,2020-08-12 13:57:29,Bangladesh,,1293547155911671808,@Atul_Luv_Sana Ye song agar big channel me release hoti to hit hota 🔥
77,2020-08-12 13:57:27,,,1293547147099480070,i need a sugar daddy who will spoil me and gimme luv 🤗
78,2020-08-12 13:57:26,parellel universe ,,1293547144947871746,@kaizokuhime_ luv u too!!
79,2020-08-12 13:57:26,Caratland,,1293547142708002816,@CRAVITYstarship OMG YASS TAEYOUNG STARTING A NEW HAIR TREND AND I LUV ITT https://t.co/xELtwzH1Xl
80,2020-08-12 13:57:26,#taejin #jinv,,1293547142154293248,"RT @billboardcharts: All of @BTS_twt's No. 1s on #WorldDigitalSongSales:

Fire
Blood Sweat &amp; Tears
Spring Day
Not Today
DNA
Mic Drop
Don't…"
81,2020-08-12 13:57:25,,,1293547137033105408,RT @jeongwooxharuto: Oh YASH HAJEONGWOO in black &amp; white! Super luv!!! 😍😍 https://t.co/LjFMfXvuDe
82,2020-08-12 13:57:24,she/her; 18; les | hxh hq,,1293547135238123522,@briannazenn yieeee luv u bribri 🥺💓💓
83,2020-08-12 13:57:24,Justin follows,,1293547132989906945,@etajustins yes luv 💅🏼
84,2020-08-12 13:57:23,🇮🇩 • she/her,,1293547129760124928,RT @mygtrivias: 'Boy With Luv' is 262k views away from reaching 886M views! Keep streaming! Let's aim for 900M views before the release of…
85,2020-08-12 13:57:22,WA,,1293547127142879232,"RT @LimitedRunGames: Celebrate your favorite time-traveling samurai with the Collector's Edition of Samurai Jack: Battle Through Time, avai…"
86,2020-08-12 13:57:22,NOTTZ/LDN. ,,1293547126480396294,@muwahhida__ Luv we finna delete our whole library it’s ok I can leave the cooking books
87,2020-08-12 13:57:20,(｡•̀ᴗ-)✧,,1293547118930665472,"RT @billboardcharts: All of @BTS_twt's No. 1s on #WorldDigitalSongSales:

Fire
Blood Sweat &amp; Tears
Spring Day
Not Today
DNA
Mic Drop
Don't…"
88,2020-08-12 13:57:20,♂,,1293547118511026180,"i don't mind toxicity, i'm healthier now, i'm happier now, i'm strong enough. i'm beyond proud of myself for making… https://t.co/SRja0wq7pd"
89,2020-08-12 13:57:20,🇹🇭,,1293547116741058563,@rintaro_asari ur so cute 🥺 i luv u ❣️ รักนะคะ
90,2020-08-12 13:57:19,moarmyeggie,,1293547115302420480,RT @jayorigin: assuming bts watched the previous eps of iland i feel like they rly would be so fond of jay bc he’d remind them of their you…
