,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 01:26:33,,,1293720565950414854,@MarkChangizi @Barnes_Law Sounds like a Southwest airlines needs to have a ADA lawsuit brought against them
1,2020-08-13 01:23:28,"London, England",,1293719787311443973,"Southwest Airlines CEO calls idea of profit this year 'unrealistic'#stockmarkets
https://t.co/4DuCRtbc1t"
2,2020-08-13 01:23:13,"San Francisco, CA",,1293719725311029255,"RT @cnni: Southwest Airlines removed a passenger and her son, a 3-year-old with autism, from a flight Monday after the child refused to wea…"
3,2020-08-13 01:22:23,"Los Angeles, CA",,1293719515147116544,"Southwest Airlines flight #SWA6046 spotted at 16,925 feet! https://t.co/1QcJfWvy4Y"
4,2020-08-13 01:22:13,,,1293719476362457089,RT @WFSBnews: She said her son has a sensory processing disorder and doesn't like his face being touched and that she had a medical note ex…
5,2020-08-13 01:20:02,"Los Angeles, CA",,1293718924618371074,"Southwest Airlines flight #SWA981 spotted at 33,975 feet! https://t.co/EqUjgJMfUO"
6,2020-08-13 01:16:20,"Los Angeles, CA",,1293717993944264704,"Southwest Airlines flight #SWA1148 spotted at 14,050 feet! https://t.co/Kui9KjFT5N"
7,2020-08-13 01:16:04,"Los Angeles, CA",,1293717928777400320,"Southwest Airlines flight #SWA1397 spotted at 6,425 feet! https://t.co/6mdGH9lgph"
8,2020-08-13 01:15:50,"Dammam, Kingdom of Saudi Arabi",,1293717869000302592,"RT @cnni: Southwest Airlines removed a passenger and her son, a 3-year-old with autism, from a flight Monday after the child refused to wea…"
9,2020-08-13 01:13:35,"Los Angeles, CA",,1293717299774386177,"Southwest Airlines flight #SWA450 spotted at 9,475 feet! https://t.co/P0nojwxpvh"
10,2020-08-13 01:12:40,Massachusetts,,1293717072107757568,"Unfortunately, the #virus doesn’t discriminate.  #SouthwestAirlines was protecting the child and the passengers.  S… https://t.co/3QRocfhbmK"
11,2020-08-13 01:11:08,,,1293716686374350849,"RT @kkgough: It’s hardly likely a 3 year old has the virus in the first place, and this kid was autistic! Boycott Southwest.
Southwest Airl…"
12,2020-08-13 01:10:19,United States,,1293716480446599169,"RT @DrEricDing: 4) “Meanwhile, other airlines realize that passengers feel more comfortable having as much space as feasible. Alaska, Delta…"
13,2020-08-13 01:09:42,"Los Angeles, CA",,1293716322522603520,"Southwest Airlines flight #SWA1231 spotted at 11,575 feet! https://t.co/CtJZgUMf0m"
14,2020-08-13 01:09:20,"Hillcrest, Washington",,1293716232852692992,@CNN Then what is the purpose of having an indicator on the ticket that the person has a cognitive or learning diso… https://t.co/JkP9n0Naei
