,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-12 15:54:47,"Málaga, España",,1293576675280801792,"RT @RyanQualtrics: The Work Different event kicks off tomorrow to help everyone reimagine what work should look like. 

20,000+ people alre…"
1,2020-08-12 15:54:24,"Los Angeles, CA",,1293576580640382976,"Southwest Airlines flight #SWA1704 spotted at 38,000 feet! https://t.co/C6X0tfr9jT"
2,2020-08-12 15:52:35,"Los Angeles, CA",,1293576123515695112,"Southwest Airlines flight #SWA1546 spotted at 25,025 feet! https://t.co/3f0Ft1CbC2"
3,2020-08-12 15:51:55,"Gladstone, OR",,1293575952706895873,If you have to travel DO NOT fly with Southwest Airlines! They’re cutting down on COVID cleaning in between flights… https://t.co/2S38uDnD87
4,2020-08-12 15:50:44,"Los Angeles, CA",,1293575655804694529,"Southwest Airlines flight #SWA1540 spotted at 5,950 feet! https://t.co/2oM2uoqQQ9"
5,2020-08-12 15:50:28,"Los Angeles, CA",,1293575589882785794,"Southwest Airlines flight #SWA260 spotted at 33,975 feet! https://t.co/brnkgcRG24"
6,2020-08-12 15:49:10,"Los Angeles, CA",,1293575260046913536,"Southwest Airlines flight #SWA356 spotted at 1,150 feet! https://t.co/oHSvxBTUNV"
7,2020-08-12 15:48:37,"Los Angeles, CA",,1293575124503818250,"Southwest Airlines flight #SWA122 spotted at 23,800 feet! https://t.co/AFMJOeM6B9"
8,2020-08-12 15:47:09,"Los Angeles, CA",,1293574752427102208,"Southwest Airlines flight #SWA1490 spotted at 3,000 feet! https://t.co/aHzYMMetIG"
9,2020-08-12 15:46:12,"Los Angeles, CA",,1293574515788660736,"Southwest Airlines flight #SWA1005 spotted at 18,900 feet! https://t.co/miDtYfxqv5"
10,2020-08-12 15:43:12,Australia,,1293573758167339009,RT @ExpertFlyer: Family Accuses Southwest of Removing Autistic Child Over Mask Policy https://t.co/sdWk0b9c9A
11,2020-08-12 15:42:48,USA,,1293573658754113537,Southwest Airlines CEO: We still don't have enough testing - Aug 12 @ 11:41 AM ET https://t.co/jl0Kkb5pUr
12,2020-08-12 15:41:31,"Los Angeles, CA",,1293573334517473280,"Southwest Airlines flight #SWA1715 spotted at 28,000 feet! https://t.co/AtJ7TvRXzH"
13,2020-08-12 15:40:59,"Los Angeles, CA",,1293573203705520128,"Southwest Airlines flight #SWA1572 spotted at 19,275 feet! https://t.co/6js7qHxSGE"
14,2020-08-12 15:40:31,"Los Angeles, CA",,1293573082951512067,"Southwest Airlines flight #SWA1674 spotted at 5,575 feet! https://t.co/mYA6thDAEQ"
15,2020-08-12 15:38:52,Tulsa,,1293572671196758018,@OWHbigred @tomshatelOWH Time to bring the 12 to 14. Add Central Florida Nebraska BYU and Cincinnati. Rebrand the c… https://t.co/73COVeHv28
16,2020-08-12 15:37:09,"Los Angeles, CA",,1293572237954445312,"Southwest Airlines flight #SWA256 spotted at 9,450 feet! https://t.co/VzYa4ZOj2h"
17,2020-08-12 15:36:38,"Los Angeles, CA",,1293572105452175361,"Southwest Airlines flight #SWA640 spotted at 41,000 feet! https://t.co/mpsEm28Zuu"
18,2020-08-12 15:35:43,"Los Angeles, CA",,1293571876078280705,"Southwest Airlines flight #SWA1685 spotted at 11,875 feet! https://t.co/J8vDYKidQm"
19,2020-08-12 15:31:56,,,1293570925590446080,"Good information to know.  Each airline has different protocols.  I recently flew SWA with great satisfaction.

Sou… https://t.co/EVs6M3TxIp"
20,2020-08-12 15:31:21,,,1293570777183264768,@DavidJHarrisJr @christo61129899 @AmericanAir Fly southwest whenever possible...... those union mob bosses run unamerican airlines
