,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 23:31:40,"Los Angeles, CA",,1294054043325612033,"Southwest Airlines flight #SWA989 spotted at 41,000 feet! https://t.co/tKSj7apgpk"
1,2020-08-13 23:30:58,"Los Angeles, CA",,1294053865709428736,"Southwest Airlines flight #SWA1727 spotted at 40,000 feet! https://t.co/5FOvxW8kc2"
2,2020-08-13 23:30:19,,,1294053703243173894,Already dreaming of a winter escape --plentyof flight options from ⁦@UnltedAirlines⁩ to Southwest Florida Internati… https://t.co/CKcgTEnNza
3,2020-08-13 23:27:47,USA,,1294053063263768581,RT @nypost: Southwest Airlines boots family after autistic toddler refuses to wear mask https://t.co/kPGMVuczjn https://t.co/W2QAH2v0mm
4,2020-08-13 23:21:55,"Los Angeles, CA",,1294051586986012674,"Southwest Airlines flight #SWA1504 spotted at 25,225 feet! https://t.co/nYp5lYYQ69"
5,2020-08-13 23:21:07,"Los Angeles, CA",,1294051384862490624,"Southwest Airlines flight #SWA1765 spotted at 15,975 feet! https://t.co/S055YT21SD"
6,2020-08-13 23:20:58,"Corpus Christi, TX",,1294051349412417537,@sallyKP 3 years old! Really poor of Southwest Airlines
7,2020-08-13 23:20:54,Texas,,1294051333067231232,Family kicked off Southwest Airlines flight because 3-year-old autistic boy wouldn't wear a mask https://t.co/OQrKo2Afmi
8,2020-08-13 23:19:46,"Los Angeles, CA",,1294051047174860800,"Southwest Airlines flight #SWA284 spotted at 31,600 feet! https://t.co/Sv0b9kJKVP"
9,2020-08-13 23:17:58,,,1294050593078751232,"RT @The1MinuteNews: Mother is taken off Southwest airlines because her 3-year old autistic son refused to put his mask on.
#news https://t.…"
10,2020-08-13 23:15:47,,,1294050043335409666,"✈️ ✈️ Flights on Southwest Airlines were released this morning through April 11, 2021! ✈️ ✈️

Let's get your winter… https://t.co/x4Y14Ax5G6"
11,2020-08-13 23:15:17,Everywhere you want to be,,1294049919351894017,"Mother is taken off Southwest airlines because her 3-year old autistic son refused to put his mask on.
#news https://t.co/E50rk6sZMo"
12,2020-08-13 23:14:25,"Los Angeles, CA",,1294049702397087744,"Southwest Airlines flight #SWA149 spotted at 34,000 feet! https://t.co/LSYnmr7q89"
13,2020-08-13 23:07:40,"ETEJ, Germany",,1294048002051579904,"United Airlines Boeing 777 300ER (N2136U, #A1C7E4) as U.S. Transportation Command flight #CMB545 at 36000 ft headin… https://t.co/6UTT3S6VpQ"
14,2020-08-13 23:07:08,"Los Angeles, CA",,1294047869255655425,"Southwest Airlines flight #SWA2699 spotted at 26,550 feet! https://t.co/a86IQ9ws6k"
15,2020-08-13 23:05:46,US National Network,,1294047522252627968,RT @theblaze: Family kicked off Southwest Airlines flight because 3-year-old autistic boy wouldn't wear a mask https://t.co/GPw72ag66s
16,2020-08-13 23:02:57,"Los Angeles, CA",,1294046816414007296,"Southwest Airlines flight #SWA903 spotted at 41,000 feet! https://t.co/tDhbZjSwND"
17,2020-08-13 22:59:50,"Washington State, USA",,1294046030133104640,"@SouthwestAir 

This is Sick and Wrong!  

Child abuse? Trauma? 

@realDonaldTrump @DonaldJTrumpJr @SpeakerPelosi… https://t.co/YkVaZEtGz8"
18,2020-08-13 22:59:25,"Los Angeles, CA",,1294045925791248384,"Southwest Airlines flight #SWA474 spotted at 2,100 feet! https://t.co/9Qrjw9bdAF"
19,2020-08-13 22:51:13,"Los Angeles, CA",,1294043863263227904,"Southwest Airlines flight #SWA188 spotted at 19,325 feet! https://t.co/VfpOe3usIa"
20,2020-08-13 22:50:49,"Los Angeles, CA",,1294043761207476225,"Southwest Airlines flight #SWA210 spotted at 39,975 feet! https://t.co/PDxrP4rTHv"
21,2020-08-13 22:49:41,USA,,1294043475139268609,"RT @no_silenced: “Southwest Airlines removed a 3-year-old with autism, and his family, from a flight Monday after the boy wouldn't keep his…"
22,2020-08-13 22:46:55,,,1294042781581803520,"Frankly, I’m glad the airline was more concerned about their passengers than one screaming autistic child! https://t.co/f0R8EkQoWB"
23,2020-08-13 22:46:54,"Los Angeles, CA",,1294042776372277248,"Southwest Airlines flight #SWA1351 spotted at 27,000 feet! https://t.co/D1dNi0GbAV"
24,2020-08-13 22:46:37,,,1294042703458516995,RT @theblaze: Family kicked off Southwest Airlines flight because 3-year-old autistic boy wouldn't wear a mask https://t.co/GPw72ag66s
25,2020-08-13 22:46:03,"Dallas, Texas, USA",,1294042560655130627,"RT @no_silenced: “Southwest Airlines removed a 3-year-old with autism, and his family, from a flight Monday after the boy wouldn't keep his…"
26,2020-08-13 22:44:53,Global,,1294042266517020674,"RT @FinTechZoom: New article: ""American, Southwest Airlines seek approval to resume flights to Costa Rica"" has been published on Fintech Zo…"
27,2020-08-13 22:42:06,"London, England",,1294041567410425865,"New article: ""American, Southwest Airlines seek approval to resume flights to Costa Rica"" has been published on Fin… https://t.co/7lexswcs4O"
28,2020-08-13 22:41:37,United States,,1294041447495340034,RT @FOX8NOLA: Family kicked off Southwest Airlines flight after boy with autism wouldn’t wear mask https://t.co/N5G4p6uNfw
29,2020-08-13 22:40:15,Massachusetts,,1294041100739661824,"RT @CNN: Southwest Airlines removed a 3-year-old with autism, and his family, from a flight Monday after the boy wouldn't keep his mask on…"
30,2020-08-13 22:40:04,New Orleans,,1294041057651503111,Family kicked off Southwest Airlines flight after boy with autism wouldn’t wear mask https://t.co/N5G4p6uNfw
31,2020-08-13 22:39:29,,,1294040909772980225,"RT @MarieHyde: How stupid American ppl act. Southwest Airlines no common sense. 
There is no scientific studies prove face mask work. They…"
32,2020-08-13 22:38:47,,,1294040734602006528,RT @TravelLeisure: 3-year-old Removed From Southwest Flight for Struggling to Wear Face Mask https://t.co/0onC6CbKjS
33,2020-08-13 22:34:42,New York,,1294039704103460864,We all need an story with a happy ending! @SouthwestAir @ARLElPaso @WyndhamElPaso 👏#aviation ‘This puppy brought so… https://t.co/VWKCaphCmD
34,2020-08-13 22:32:13,"Hollywood, California",,1294039082427805696,RT @TravelLeisure: 3-year-old Removed From Southwest Flight for Struggling to Wear Face Mask https://t.co/0onC6CbKjS
35,2020-08-13 22:31:38,"Los Angeles, CA",,1294038934867996672,"Southwest Airlines flight #SWA302 spotted at 24,875 feet! https://t.co/DqM8HZ9mfd"
36,2020-08-13 22:30:40,Clown World ,,1294038688356163584,"Shame on you @SouthwestAir 
#masknazis #BoycottSouthWestAirlines 

https://t.co/HV4WQmaVzL"
37,2020-08-13 22:29:22,"Los Angeles, CA",,1294038362899136512,"Southwest Airlines flight #SWA1479 spotted at 40,000 feet! https://t.co/33fldq9Cwq"
38,2020-08-13 22:28:28,Clown World ,,1294038137266610183,"@SouthwestAir Trash airline who discriminates against autistic children. 
pathetic 

#boycottsouthwestairlines 
 
https://t.co/HV4WQmaVzL"
39,2020-08-13 22:26:58,"Los Angeles, CA",,1294037760680947712,"Southwest Airlines flight #SWA1396 spotted at 16,400 feet! https://t.co/kmIkG9sntz"
40,2020-08-13 22:26:43,"Los Angeles, CA",,1294037694922682368,"Southwest Airlines flight #SWA150 spotted at 2,275 feet! https://t.co/C13gOGx2lK"
41,2020-08-13 22:20:38,"Los Angeles, CA",,1294036164848959488,"Southwest Airlines flight #SWA978 spotted at 41,000 feet! https://t.co/qlOqTSaSEO"
42,2020-08-13 22:19:33,"Los Angeles, CA",,1294035893137756160,"Southwest Airlines flight #SWA1735 spotted at 21,400 feet! https://t.co/2jtucXl0DK"
43,2020-08-13 22:19:17,"Los Angeles, CA",,1294035826561519616,"Southwest Airlines flight #SWA1629 spotted at 3,825 feet! https://t.co/YmLu9x0j7D"
44,2020-08-13 22:19:02,"Los Angeles, CA",,1294035761432469504,"Southwest Airlines flight #SWA1426 spotted at 35,575 feet! https://t.co/TE1IywmNo6"
45,2020-08-13 22:17:49,Just This Side of Crazy,,1294035457567793154,@mysuncoast Then fly one of the airlines that has that exception. Southwest is VERY CLEAR about its policies and AC… https://t.co/BZxNxF2X5S
46,2020-08-13 22:17:08,"Los Angeles, CA",,1294035284003184640,"Southwest Airlines flight #SWA481 spotted at 28,375 feet! https://t.co/BpdOVPLbPm"
47,2020-08-13 22:15:52,Mars,,1294034964707717126,"RT @KAMRLocal4News: Texas family removed from a Southwest Airlines flight after 3-year-old boy with autism would not wear a face mask.

 ht…"
48,2020-08-13 22:15:00,"Albany, GA",,1294034747920977922,Southwest Airlines says all customers over age 2 must cover their faces while traveling. https://t.co/6MCy602kcW
49,2020-08-13 22:13:16,"Los Angeles, CA",,1294034312656912384,"Southwest Airlines flight #SWA394 spotted at 41,000 feet! https://t.co/ORQxQUqaOf"
50,2020-08-13 22:11:00,"Los Angeles, CA",,1294033739178102784,"Southwest Airlines flight #SWA614 spotted at 6,550 feet! https://t.co/svzPi2j7XE"
51,2020-08-13 22:10:58,United States,,1294033730890276864,"How stupid American ppl act. Southwest Airlines no common sense. 
There is no scientific studies prove face mask wo… https://t.co/xgmDK1XjNI"
52,2020-08-13 22:09:16,"Los Angeles, CA",,1294033304316809216,"Southwest Airlines flight #SWA831 spotted at 15,575 feet! https://t.co/EUwjONACGd"
53,2020-08-13 22:08:21,"Los Angeles, CA",,1294033075148451840,"Southwest Airlines flight #SWA1204 spotted at 14,050 feet! https://t.co/3FmFheBvqD"
54,2020-08-13 22:08:16,Winfield BC,,1294033051635167233,"RT @AINonline: Throughout the first seven months of 2020, low-cost carrier Southwest Airlines consistently flew more than U.S. rivals Ameri…"
55,2020-08-13 22:07:34,"Los Angeles, CA",,1294032878259511296,"Southwest Airlines flight #SWA1369 spotted at 7,700 feet! https://t.co/18yzKOi2NJ"
56,2020-08-13 22:00:25,"New York, NY",,1294031077678501893,3-year-old Removed From Southwest Flight for Struggling to Wear Face Mask https://t.co/0onC6CbKjS
57,2020-08-13 22:00:10,,,1294031014088642561,RT @theblaze: Family kicked off Southwest Airlines flight because 3-year-old autistic boy wouldn't wear a mask https://t.co/GPw72ag66s
58,2020-08-13 22:00:01,"Sarasota, Florida",,1294030977170378753,"“I think there needs to be something in place for children or even adults with disabilities who can’t wear a mask,”… https://t.co/Av2D6K2DXE"
59,2020-08-13 21:59:03,United States,,1294030735213568003,THE BLAZE has reported: Family kicked off Southwest Airlines flight because 3-year-old autistic boy wouldn't wear a… https://t.co/z8USMVt4AX
60,2020-08-13 21:58:40,"Los Angeles, CA",,1294030636429107201,"Southwest Airlines flight #SWA1418 spotted at 19,450 feet! https://t.co/riwc4xKBYJ"
61,2020-08-13 21:57:53,"Los Angeles, CA",,1294030439879864320,"Southwest Airlines flight #SWA760 spotted at 3,725 feet! https://t.co/xqd4yZIYEj"
62,2020-08-13 21:56:40,"Los Angeles, CA",,1294030134672887810,"Southwest Airlines flight #SWA1585 spotted at 10,425 feet! https://t.co/UpobREBELV"
63,2020-08-13 21:56:34,New York City,,1294030109356089344,"Southwest Airlines unveils Steamboat Springs routes, adds new destination during pandemic https://t.co/eG2eZ46U6c https://t.co/0FlNfUFM4f"
64,2020-08-13 21:56:15,"Los Angeles, CA",,1294030029949554688,"Southwest Airlines flight #SWA1575 spotted at 27,950 feet! https://t.co/jyCKzOMs2M"
65,2020-08-13 21:48:01,"Los Angeles, CA",,1294027956864466945,"Southwest Airlines flight #SWA1517 spotted at 12,025 feet! https://t.co/KRspLHZE4F"
66,2020-08-13 21:47:30,"Cambridge, MA",,1294027827730407426,@BrendanBurwood @ivanvihe @spacex360 @elonmusk @TimFernholz The biggest challenge is turn around time. Southwest Ai… https://t.co/CnQN0WYFf4
67,2020-08-13 21:45:26,"Northern Rockies, USA",,1294027308735459329,RT @theblaze: Family kicked off Southwest Airlines flight because 3-year-old autistic boy wouldn't wear a mask https://t.co/GPw72ag66s
68,2020-08-13 21:44:17,"Los Angeles, CA",,1294027019278114816,"Southwest Airlines flight #SWA1228 spotted at 28,800 feet! https://t.co/BiRxCw0mRB"
69,2020-08-13 21:41:34,"Los Angeles, CA",,1294026334469931008,"Southwest Airlines flight #SWA473 spotted at 25,350 feet! https://t.co/Xvh4U4ee7a"
70,2020-08-13 21:40:00,Kansas,,1294025938964033541,Southwest Airlines got Alyssa Sadler and her two children across the state to Midland last week. https://t.co/83eCHTYgPW
71,2020-08-13 21:39:27,"Los Angeles, CA",,1294025800874827776,"Southwest Airlines flight #SWA1786 spotted at 41,000 feet! https://t.co/6sgJDK3HiN"
72,2020-08-13 21:38:35,"Los Angeles, CA",,1294025582334771200,"Southwest Airlines flight #SWA1487 spotted at 1,725 feet! https://t.co/wlx1AlUrOK"
73,2020-08-13 21:36:12,"Los Angeles, CA",,1294024984906498048,"Southwest Airlines flight #SWA816 spotted at 18,950 feet! https://t.co/FwfdnSBIwe"
