,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 17:32:29,South Florida,,1293963648117944320,"RT @JoeNBC: “We hear from some Republicans that re­quir­ing mask­ing or dis­tanc­ing in­fringes on in­di­vid­ual lib­erty. Well, sure. So d…"
1,2020-08-13 17:32:18,,,1293963604358643712,"RT @JoeNBC: “We hear from some Republicans that re­quir­ing mask­ing or dis­tanc­ing in­fringes on in­di­vid­ual lib­erty. Well, sure. So d…"
2,2020-08-13 17:32:01,"South West, England",,1293963533391147008,"Video Series PT.1 Thank you Rahul Patel @UCU_UAL for your marvelous endorsement, and for giving me your time to dis… https://t.co/XtutXZroWJ"
3,2020-08-13 17:31:53,,,1293963499266285568,"Jim Cramer $GOLD, CNBC

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug… https://t.co/pqP0rYSAYD"
4,2020-08-13 17:30:59,,,1293963270857134082,"RT @JoeNBC: “We hear from some Republicans that re­quir­ing mask­ing or dis­tanc­ing in­fringes on in­di­vid­ual lib­erty. Well, sure. So d…"
5,2020-08-13 17:29:42,"Clarksville, IN",,1293962948130549760,"RT @JoeNBC: “We hear from some Republicans that re­quir­ing mask­ing or dis­tanc­ing in­fringes on in­di­vid­ual lib­erty. Well, sure. So d…"
6,2020-08-13 17:29:34,North Mississippi,,1293962915171545089,"RT @JoeNBC: “We hear from some Republicans that re­quir­ing mask­ing or dis­tanc­ing in­fringes on in­di­vid­ual lib­erty. Well, sure. So d…"
7,2020-08-13 17:28:34,"Ohio, USA",,1293962664775843840,"If you really want to make a huge profit on stock trading then check out https://t.co/cB9ml2RJ51

$SRNE $HTBX $SNDL… https://t.co/whIR1t39Hn"
8,2020-08-13 17:27:55,,,1293962500233465856,"RT @JoeNBC: “We hear from some Republicans that re­quir­ing mask­ing or dis­tanc­ing in­fringes on in­di­vid­ual lib­erty. Well, sure. So d…"
9,2020-08-13 17:27:29,UK,,1293962391844261892,@Iffsi @JlappyAV @JPWard @DanLeeAV @Rhyno_24 @AVPhenom @D_Gatenby @chris_neto @ual_marcus @AdmHrv @KevTalbot… https://t.co/6RM0NVNARF
10,2020-08-13 17:27:03,SLC,,1293962282196561923,"RT @JoeNBC: “We hear from some Republicans that re­quir­ing mask­ing or dis­tanc­ing in­fringes on in­di­vid­ual lib­erty. Well, sure. So d…"
