,Datetime,Place,Place_coord_boundaries,Tweet Id,Text
0,2020-08-13 15:27:29,In the woman box,,1293932190997389315,"RT @jeremymullman: Yes, clearly Chicago-based McDonald’s, Allstate, Aon, Boeing, Kraft Heinz, Molson Coors, United Airlines and Walgreen’s…"
1,2020-08-13 15:26:17,"Texas, USA",,1293931890047627265,"RT @TheAirchive: Founded in 1980, New York Air flew along the east coast of the United States with its fleet of 737-300, DC-9-30, and MD-82…"
2,2020-08-13 15:24:32,"Los Angeles, CA",,1293931448391487491,United Airlines flight #UAL501 spotted at 350 feet! https://t.co/2mFTnYApB7
3,2020-08-13 15:24:00,"Washington, DC",,1293931316640018432,RT @BoardingArea: United Airlines’ Fascinating Florida Expansion https://t.co/y0y4p6w7pA via @OneMileataTime https://t.co/3DtXSKN8bB
4,2020-08-13 15:22:55,Chicago,,1293931042882101248,"RT @jeremymullman: Yes, clearly Chicago-based McDonald’s, Allstate, Aon, Boeing, Kraft Heinz, Molson Coors, United Airlines and Walgreen’s…"
5,2020-08-13 15:21:57,"Los Angeles, CA",,1293930801336184832,"United Airlines flight #UAL753 spotted at 9,550 feet! https://t.co/rtwjRzHLgw"
6,2020-08-13 15:21:51,"Denver, CO",,1293930775868583939,I hate product placement in movies. Like ugh now I’m wanting to fly United Airlines after watching United 93
7,2020-08-13 15:21:08,"Chicago, IL",,1293930594121003008,"RT @jeremymullman: Yes, clearly Chicago-based McDonald’s, Allstate, Aon, Boeing, Kraft Heinz, Molson Coors, United Airlines and Walgreen’s…"
8,2020-08-13 15:19:39,"36.079155,-115.031136",,1293930220391739392,RT @BoardingArea: United Airlines’ Fascinating Florida Expansion https://t.co/y0y4p6w7pA via @OneMileataTime https://t.co/3DtXSKN8bB
9,2020-08-13 15:19:33,,,1293930198203658240,United Airlines’ Fascinating Florida Expansion https://t.co/y0y4p6w7pA via @OneMileataTime https://t.co/3DtXSKN8bB
10,2020-08-13 15:18:31,United States,,1293929935006908417,"RT @TravelPulse: United Airlines announced it would add 28 daily nonstop flights this winter from popular Florida destinations.

https://t.…"
11,2020-08-13 15:16:58,"Los Angeles, CA",,1293929547390259200,United Airlines flight #UAL2765 spotted at 700 feet! https://t.co/3DHbKJXIJ3
12,2020-08-13 15:16:41,Hopefully traveling!,,1293929476880031752,United Airlines' Fascinating Florida Expansion https://t.co/6yq3ZKLKmN https://t.co/TlPrTRrg9U
13,2020-08-13 15:16:11,"Coral Springs, Fla.",,1293929348131696641,"RT @TravelPulse: United Airlines announced it would add 28 daily nonstop flights this winter from popular Florida destinations.

https://t.…"
14,2020-08-13 15:15:44,国際線ターミナル展望デッキ,,1293929236852387840,RT @traveloneworld: Did you know @AlaskaAir has the most nonstop flights from the West Coast of the United States? Where are you looking fo…
15,2020-08-13 15:15:05,"Westampton, NJ",,1293929070951108608,"United Airlines announced it would add 28 daily nonstop flights this winter from popular Florida destinations.

https://t.co/UjNF8fH2iE"
16,2020-08-13 15:14:51,"Chicago, Il",,1293929012067090432,"Yes, clearly Chicago-based McDonald’s, Allstate, Aon, Boeing, Kraft Heinz, Molson Coors, United Airlines and Walgre… https://t.co/pNApW6egUV"
17,2020-08-13 15:12:53,United States,,1293928518665924609,RT @usatodaytravel: .@united is beefing up its service to and from Florida this winter with the launch of 13 new nonstop routes from cities…
18,2020-08-13 15:11:31,"Portland, Oregon, USA",,1293928175395835904,"New on the Blog! Case study - United Airlines Can Revisit the Past, Thanks to Hanzo’s Dynamic Website Archives… https://t.co/B4FpTt32eJ"
