Date,Number,Location,Location Coordinates,TweetID,Text,Airline,polarity,subjectivity
2020-08-12 02:09:26,98,"Los Angeles, CA",,1.2933689671683686e+18,"Southwest Airlines flight #SWA356 spotted at 40,950 feet! https://t.co/oHSvxBTUNV",Southwest Airlines,0.0,0.0
2020-08-12 02:11:13,97,"Los Angeles, CA",,1.2933694160594575e+18,"Southwest Airlines flight #SWA1304 spotted at 32,000 feet! https://t.co/zd0bWT6VIf",Southwest Airlines,0.0,0.0
2020-08-12 02:12:16,96,"Los Angeles, CA",,1.2933696813282345e+18,"Southwest Airlines flight #SWA275 spotted at 19,125 feet! https://t.co/IJaBnpB8vt",Southwest Airlines,0.0,0.0
2020-08-12 02:13:04,95,"Los Angeles, CA",,1.2933698841941688e+18,"Southwest Airlines flight #SWA990 spotted at 40,000 feet! https://t.co/RiJB92e2Ox",Southwest Airlines,0.0,0.0
2020-08-12 02:15:46,94,"Los Angeles, CA",,1.2933705639733535e+18,"Southwest Airlines flight #SWA468 spotted at 4,200 feet! https://t.co/p4YfHA2Whl",Southwest Airlines,0.0,0.0
2020-08-12 02:19:30,91,,,1.293371502562345e+18,Houston mom claims 3-year-old son with autism kicked of Southwest Airlines flight for refusing to put on mask - ABC… https://t.co/gJnJbe034X,Southwest Airlines,0.0,0.0
2020-08-12 02:21:52,90,"Los Angeles, CA",,1.2933720963413688e+18,"Southwest Airlines flight #SWA726 spotted at 22,000 feet! https://t.co/nFklKj5wDU",Southwest Airlines,0.0,0.0
2020-08-12 02:22:24,89,"Los Angeles, CA",,1.2933722304961618e+18,"Southwest Airlines flight #SWA982 spotted at 32,025 feet! https://t.co/H9KgKWvdPf",Southwest Airlines,0.0,0.0
2020-08-12 02:24:55,88,"Los Angeles, CA",,1.2933728649643581e+18,"Southwest Airlines flight #SWA1315 spotted at 41,000 feet! https://t.co/DKB1g3neBx",Southwest Airlines,0.0,0.0
2020-08-12 02:26:41,87,"Los Angeles, CA",,1.293373309069824e+18,"Southwest Airlines flight #SWA234 spotted at 24,400 feet! https://t.co/ciYDSsKcno",Southwest Airlines,0.0,0.0
2020-08-12 02:30:19,85,"Los Angeles, CA",,1.293374224401199e+18,"Southwest Airlines flight #SWA1082 spotted at 22,350 feet! https://t.co/iXMLVwMhcX",Southwest Airlines,0.0,0.0
2020-08-12 02:31:34,84,Moffett Field (KNUQ),,1.29337453868467e+18,iAero Airways (Swift Air) Boeing 737-3H4(WL) N627SW was over the Bay Area today as SWQ6853 outbound @IFlyOAKland he… https://t.co/2uGq8FxkTJ,Southwest Airlines,0.0,0.0
2020-08-12 02:33:59,83,"Los Angeles, CA",,1.2933751454997176e+18,"Southwest Airlines flight #SWA1080 spotted at 18,400 feet! https://t.co/b0ixWSGgYp",Southwest Airlines,0.0,0.0
2020-08-12 02:34:55,82,"Los Angeles, CA",,1.2933753804939715e+18,"Southwest Airlines flight #SWA662 spotted at 41,000 feet! https://t.co/KbcEE08Gi5",Southwest Airlines,0.0,0.0
2020-08-12 02:35:26,81,"Los Angeles, CA",,1.2933755130131005e+18,"Southwest Airlines flight #SWA155 spotted at 9,950 feet! https://t.co/fdD1WxRCFK",Southwest Airlines,0.0,0.0
2020-08-12 02:36:06,80,"Los Angeles, CA",,1.2933756794346004e+18,"Southwest Airlines flight #SWA1326 spotted at 39,500 feet! https://t.co/tvHq0hJ3sl",Southwest Airlines,0.0,0.0
2020-08-12 02:38:38,79,"Los Angeles, CA",,1.2933763165536133e+18,"Southwest Airlines flight #SWA1771 spotted at 16,750 feet! https://t.co/K5DEuBvQHm",Southwest Airlines,0.0,0.0
2020-08-12 02:42:39,78,"Los Angeles, CA",,1.2933773275193426e+18,"Southwest Airlines flight #SWA806 spotted at 7,775 feet! https://t.co/s9nPkYRcRV",Southwest Airlines,0.0,0.0
2020-08-12 02:45:40,77,"Los Angeles, CA",,1.2933780886637814e+18,"Southwest Airlines flight #SWA858 spotted at 16,000 feet! https://t.co/VLWN6tL72a",Southwest Airlines,0.0,0.0
2020-08-12 02:46:32,76,"USA TODAY HQ, McLean, Va.",,1.2933783034291405e+18,A Texas woman says that she was removed from a Southwest Airlines flight Monday after her three-year-old son with a… https://t.co/W9RSTsXnsy,Southwest Airlines,0.0,0.0
2020-08-12 02:57:59,74,"Los Angeles, CA",,1.2933811853058908e+18,"Southwest Airlines flight #SWA1350 spotted at 40,025 feet! https://t.co/bp6mbDS6oe",Southwest Airlines,0.0,0.0
2020-08-12 02:59:44,73,"Los Angeles, CA",,1.2933816294407373e+18,"Southwest Airlines flight #SWA1678 spotted at 26,975 feet! https://t.co/y3nOCztiZm",Southwest Airlines,0.0,0.0
2020-08-12 03:09:45,71,"Texas, USA",,1.293384147713622e+18,"On 2018-12-20, @ChipRoyTX (R-Kerrville)'s' ""Chip Roy For Congress"" reported a $425.98 expenditure to ""Southwest Air… https://t.co/goReW0R916",Southwest Airlines,0.0,0.0
2020-08-12 03:10:12,70,"Los Angeles, CA",,1.293384261815251e+18,"Southwest Airlines flight #SWA964 spotted at 6,400 feet! https://t.co/MNBeLQRD4P",Southwest Airlines,0.0,0.0
2020-08-12 03:14:40,69,"Los Angeles, CA",,1.293385386962518e+18,"Southwest Airlines flight #SWA450 spotted at 6,200 feet! https://t.co/P0nojwxpvh",Southwest Airlines,0.0,0.0
