Date,Number,Location,Location Coordinates,TweetID,Text,Airline,polarity,subjectivity
2020-08-12 17:16:01,52,,,1.2935971166953021e+18,$TSLA this is what we shared with DT team on Monday &amp; here we are. Best setups we discuss in our discord &amp; wait for… https://t.co/WgDdmSQEoR,American Airlines,1.0,0.3
2020-08-12 19:08:38,78,,,1.2936254604092252e+18,@untoter_animu @BuffaloBellchan Colourism at it's best.,American Airlines,1.0,0.3
2020-08-12 19:25:19,53,,,1.2936296576154993e+18,"$SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $FB $USO $DAL $UBER $UGAZ $DIS $ROKU
Best discord… https://t.co/d4mIQxUvbf",American Airlines,1.0,0.3
2020-08-12 19:37:56,86,,,1.2936328317976576e+18,"$SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $FB $USO $DAL $UBER $UGAZ $DIS $ROKU
Best discord… https://t.co/gq3oI4s59b",American Airlines,1.0,0.3
2020-08-12 19:37:56,15,,,1.2936328317976576e+18,"$SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $FB $USO $DAL $UBER $UGAZ $DIS $ROKU
Best discord… https://t.co/gq3oI4s59b",American Airlines,1.0,0.3
2020-08-12 20:22:04,57,,,1.2936439372115436e+18,"$SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $FB $USO $DAL $UBER $UGAZ $DIS $ROKU
Best discord… https://t.co/TGmXeXj2Ju",American Airlines,1.0,0.3
2020-08-12 20:23:22,56,,,1.2936442668502835e+18,"$SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $FB $USO $DAL $UBER 

Best discord group for the… https://t.co/XCPbcf39CL",American Airlines,1.0,0.3
2020-08-12 21:38:21,13,,,1.2936631356651315e+18,"I wonder where he'd get the idea †ha† this was a WORLD hoax?
IQ45 w/her magnificent brain. S†able genius TR☭MP &amp; he… https://t.co/vlMjMcc6AQ",American Airlines,1.0,1.0
2020-08-12 23:51:05,64,Indonesia,,1.2936965385442836e+18,"“Allaah (Alone) is Sufficient for us, and He is the Best Disposer of Affairs (for us).”
“The Quran Aal ‘Imraan 3:171″",American Airlines,1.0,0.3
2020-08-12 23:51:05,3,Indonesia,,1.2936965385442836e+18,"“Allaah (Alone) is Sufficient for us, and He is the Best Disposer of Affairs (for us).”
“The Quran Aal ‘Imraan 3:171″",American Airlines,1.0,0.3
2020-08-13 00:01:49,57,,,1.2936992428470845e+18,"PlaySharp Trades the best trading community! 

Chatroom:
https://t.co/SQ1oXG1LO5

$SPY $QQQ $A $NVDA $BA $TSLA… https://t.co/Z45gZxY2Ur",American Airlines,1.0,0.3
2020-08-13 03:40:54,60,,,1.2937543768515133e+18,@AAL________ Delicious!!,American Airlines,1.0,1.0
2020-08-13 04:46:01,83,"Ohio, USA",,1.2937707610023158e+18,"Best community for stocks, options, day &amp; swing trading…. 19,000+ members being profitable with us:… https://t.co/HESOYMUdb5",American Airlines,1.0,0.3
2020-08-13 04:46:01,26,"Ohio, USA",,1.2937707610023158e+18,"Best community for stocks, options, day &amp; swing trading…. 19,000+ members being profitable with us:… https://t.co/HESOYMUdb5",American Airlines,1.0,0.3
2020-08-13 04:49:06,22,,,1.2937715377876173e+18,"RT @EStocksc: Best community for stocks, options, day &amp; swing trading…. 19,000+ members being profitable with us: https://t.co/cB9ml2RJ51…",American Airlines,1.0,0.3
2020-08-13 04:49:06,79,,,1.2937715377876173e+18,"RT @EStocksc: Best community for stocks, options, day &amp; swing trading…. 19,000+ members being profitable with us: https://t.co/cB9ml2RJ51…",American Airlines,1.0,0.3
2020-08-13 07:30:30,68,👇 MONEY MAKING GUIDES ,,1.2938121551968666e+18,"When you raiseyour kids, 

you’re thebow, 

they’re thearrow,

 just try to aim them inthe best directionthat you can.",American Airlines,1.0,0.3
2020-08-13 07:30:30,1,👇 MONEY MAKING GUIDES ,,1.2938121551968666e+18,"When you raiseyour kids, 

you’re thebow, 

they’re thearrow,

 just try to aim them inthe best directionthat you can.",American Airlines,1.0,0.3
2020-08-13 08:43:46,22,,,1.293830592115757e+18,@Sarawaan1 Yeah it's the real happiness when we feel we would get a chance to help our loves one .,American Airlines,1.0,0.30000000000000004
