Period,Alaska Air Group Inc Price % Change,American Airlines Group Inc Price % Change,Delta Air Lines Inc Price % Change,JetBlue Airways Corp Price % Change,Southwest Airlines Co Price % Change,United Airlines Holdings Inc Price % Change
8/14/2020 16:00,-3.33504,-2.91333,-2.32794,-1.96413,-1.10513,-1.76487
59:56.3,-3.28374,-2.91333,-2.2942,-1.87874,-1.10513,-1.81917
59:05.0,-3.23243,-2.98616,-2.22672,-1.96413,-1.1618,-1.81917
58:17.6,-3.28374,-2.98616,-2.26046,-2.04953,-1.1618,-1.84632
57:29.2,-3.25808,-2.98616,-2.26046,-2.13493,-1.21848,-1.92778
56:40.0,-3.38635,-3.05899,-2.36167,-2.13493,-1.24681,-1.98208
55:51.3,-3.38635,-3.13183,-2.39541,-2.13493,-1.30349,-1.92778
55:04.2,-3.51462,-3.05899,-2.49663,-2.13493,-1.33182,-1.98208
54:11.2,-3.54028,-3.20466,-2.49663,-2.22032,-1.3885,-2.06354
53:20.4,-3.56593,-3.20466,-2.59784,-2.30572,-1.47351,-2.17214
52:33.3,-3.56593,-3.20466,-2.59784,-2.30572,-1.47351,-2.17214
51:45.5,-3.56593,-3.20466,-2.63158,-2.30572,-1.50184,-2.17214
50:54.6,-3.61724,-3.27749,-2.76653,-2.47652,-1.55852,-2.22645
50:03.3,-3.41201,-3.05899,-2.66532,-2.22032,-1.47351,-2.17214
49:17.0,-3.41201,-3.05899,-2.66532,-2.22032,-1.47351,-2.17214
48:27.8,-3.30939,-2.98616,-2.63158,-2.13493,-1.3885,-1.98208
47:38.1,-3.30939,-2.98616,-2.63158,-2.13493,-1.33182,-1.95493
46:49.3,-3.23243,-2.98616,-2.5641,-2.13493,-1.33182,-1.87347
45:59.8,-3.12981,-2.8405,-2.49663,-2.13493,-1.19014,-1.81917
45:09.3,-3.12981,-2.8405,-2.49663,-2.13493,-1.19014,-1.81917
44:17.6,-3.10416,-2.91333,-2.49663,-2.04953,-1.21848,-1.71056
43:28.4,-3.38635,-2.98616,-2.66532,-2.13493,-1.41683,-1.92778
42:39.6,-3.41201,-2.98616,-2.63158,-2.13493,-1.47351,-1.90062
41:48.8,-3.41201,-2.98616,-2.63158,-2.13493,-1.44517,-1.92778
40:57.5,-3.30939,-2.98616,-2.5641,-2.13493,-1.44517,-1.79202
40:10.5,-3.30939,-2.98616,-2.5641,-2.13493,-1.44517,-1.79202
39:19.2,-3.3607,-3.05899,-2.49663,-2.13493,-1.41683,-1.76487
38:28.7,-3.33504,-3.05899,-2.53036,-2.22032,-1.44517,-1.76487
37:41.1,-3.38635,-3.13183,-2.53036,-2.13493,-1.44517,-1.73771
36:51.9,-3.38635,-3.05899,-2.53036,-2.13493,-1.41683,-1.71056
36:00.5,-3.30939,-2.98616,-2.42915,-2.13493,-1.36016,-1.62911
35:07.9,-3.20677,-2.98616,-2.36167,-1.96413,-1.33182,-1.4662
34:20.1,-3.20677,-2.98616,-2.36167,-1.96413,-1.33182,-1.4662
33:29.3,-3.28374,-2.98616,-2.42915,-2.13493,-1.33182,-1.5748
32:39.3,-3.18112,-2.98616,-2.39541,-2.04953,-1.27515,-1.5205
31:48.9,-3.38635,-3.27749,-2.5641,-2.22032,-1.33182,-1.87347
31:01.7,-3.38635,-3.27749,-2.53036,-2.13493,-1.36016,-1.84632
30:10.3,-3.3607,-3.27749,-2.49663,-2.22032,-1.36016,-1.81917
29:19.6,-3.33504,-3.27749,-2.49663,-2.22032,-1.3885,-1.87347
28:32.1,-3.33504,-3.27749,-2.49663,-2.22032,-1.41683,-1.84632
27:44.1,-3.48897,-3.42316,-2.63158,-2.30572,-1.53018,-2.00923
26:53.2,-3.48897,-3.42316,-2.63158,-2.30572,-1.53018,-2.00923
25:59.8,-3.43766,-3.42316,-2.63158,-2.30572,-1.44517,-1.95493
25:10.0,-3.46331,-3.42316,-2.59784,-2.22032,-1.44517,-2.00923
24:19.2,-3.46331,-3.42316,-2.59784,-2.22032,-1.44517,-1.98208
23:25.4,-3.3607,-3.27749,-2.53036,-2.22032,-1.36016,-1.92778
22:34.2,-3.30939,-3.35033,-2.59784,-2.22032,-1.3885,-1.92778
21:43.7,-3.28374,-3.35033,-2.53036,-2.22032,-1.36016,-1.95493
20:52.3,-3.30939,-3.42316,-2.5641,-2.30572,-1.3885,-1.98208
19:57.5,-3.38635,-3.42316,-2.63158,-2.30572,-1.41683,-2.03638
19:02.7,-3.38635,-3.42316,-2.5641,-2.30572,-1.33182,-2.06354
18:09.1,-3.33504,-3.42316,-2.59784,-2.22032,-1.36016,-2.06354
17:17.9,-3.43766,-3.49599,-2.63158,-2.22032,-1.44517,-2.17214
15:20.5,-3.46331,-3.49599,-2.5641,-2.22032,-1.3885,-2.14499
14:29.1,-3.43766,-3.49599,-2.5641,-2.13493,-1.36016,-2.09069
13:37.2,-3.46331,-3.42316,-2.5641,-2.13493,-1.33182,-2.06354
12:48.9,-3.33504,-3.42316,-2.53036,-2.13493,-1.33182,-2.09069
11:57.8,-3.33504,-3.42316,-2.49663,-2.04953,-1.30349,-2.00923
11:07.1,-3.33504,-3.42316,-2.49663,-2.04953,-1.30349,-2.00923
10:11.2,-3.12981,-3.35033,-2.42915,-1.96413,-1.21848,-1.98208
09:19.5,-3.12981,-3.42316,-2.39541,-1.96413,-1.21848,-1.92778
07:31.2,-3.10416,-3.27749,-2.36167,-1.96413,-1.21848,-1.87347
05:07.2,-3.12981,-3.27749,-2.36167,-1.96413,-1.19014,-2.03638
02:47.2,-3.15546,-3.35033,-2.42915,-1.96413,-1.21848,-1.90062
00:15.3,-3.15546,-3.27749,-2.2942,-1.96413,-1.1618,-1.84632
57:36.5,-3.25808,-3.27749,-2.32794,-1.96413,-1.21848,-1.84632
54:46.2,-3.20677,-3.27749,-2.42915,-2.04953,-1.21848,-2.06354
51:30.1,-3.25808,-3.20466,-2.36167,-1.96413,-1.21848,-2.06354
48:44.7,-3.38635,-3.42316,-2.53036,-2.13493,-1.41683,-2.2536
46:11.6,-3.41201,-3.42316,-2.53036,-1.96413,-1.41683,-2.22645
43:31.9,-3.25808,-3.20466,-2.32794,-1.87874,-1.27515,-2.00923
41:22.9,-3.10416,-3.05899,-2.22672,-1.96413,-1.24681,-1.95493
39:22.9,-3.10416,-2.98616,-2.26046,-1.87874,-1.3885,-2.00923
37:23.4,-3.0785,-2.98616,-2.26046,-1.96413,-1.33182,-1.98208
35:45.5,-3.00154,-2.8405,-2.19298,-1.96413,-1.27515,-1.90062
34:28.3,-3.00154,-2.98616,-2.22672,-1.96413,-1.24681,-1.90062
33:20.0,-2.97589,-2.98616,-2.15924,-1.96413,-1.21848,-1.87347
32:15.4,-2.97589,-2.98616,-2.15924,-1.96413,-1.21848,-1.87347
31:18.5,-3.10416,-3.13183,-2.22672,-1.96413,-1.33182,-1.98208
30:29.5,-3.05285,-3.05899,-2.19298,-1.96413,-1.24681,-1.90062
29:40.2,-3.05285,-2.98616,-2.15924,-1.96413,-1.24681,-1.87347
28:51.1,-3.05285,-2.98616,-2.15924,-1.96413,-1.24681,-1.87347
28:02.0,-3.02719,-2.98616,-2.12551,-1.96413,-1.21848,-1.81917
27:14.9,-3.02719,-2.98616,-2.09177,-1.96413,-1.21848,-1.84632
26:18.6,-3.05285,-3.13183,-2.12551,-1.96413,-1.27515,-1.90062
25:28.7,-3.05285,-3.13183,-2.12551,-1.96413,-1.30349,-1.92778
24:39.2,-3.05285,-3.13183,-2.12551,-1.96413,-1.30349,-1.92778
23:52.2,-3.00154,-3.13183,-2.12551,-1.96413,-1.30349,-1.92778
23:00.1,-2.89892,-2.98616,-2.05803,-1.87874,-1.24681,-1.84632
22:08.5,-2.89892,-2.98616,-2.05803,-1.87874,-1.24681,-1.84632
21:18.4,-2.92458,-3.05899,-2.02429,-1.87874,-1.21848,-1.79202
20:31.6,-3.00154,-3.05899,-2.09177,-1.87874,-1.21848,-1.79202
19:41.4,-2.89892,-3.05899,-2.12551,-1.87874,-1.21848,-1.84632
18:50.1,-2.89892,-3.05899,-2.12551,-1.87874,-1.21848,-1.84632
17:59.6,-2.89892,-3.05899,-2.09177,-1.87874,-1.21848,-1.76487
17:09.4,-2.89892,-2.98616,-2.05803,-1.87874,-1.19014,-1.71056
16:17.7,-2.95023,-2.98616,-2.05803,-1.87874,-1.1618,-1.71056
14:52.3,-2.97589,-3.13183,-2.15924,-1.87874,-1.19014,-1.81917
14:04.7,-2.97589,-2.98616,-2.12551,-1.87874,-1.13347,-1.76487
13:15.6,-2.97589,-2.91333,-2.12551,-1.79334,-1.10513,-1.73771
12:27.4,-2.97589,-2.98616,-2.19298,-1.79334,-1.1618,-1.84632
11:40.2,-3.02719,-2.91333,-2.12551,-1.70794,-1.10513,-1.71056
10:49.9,-3.02719,-2.91333,-2.09177,-1.79334,-1.07679,-1.68341
10:00.3,-3.02719,-2.91333,-2.09177,-1.79334,-1.07679,-1.68341
09:10.8,-2.89892,-2.8405,-2.05803,-1.70794,-1.07679,-1.71056
08:23.2,-2.82196,-2.8405,-2.09177,-1.70794,-1.02012,-1.65626
07:33.1,-2.79631,-2.76766,-2.09177,-1.70794,-0.99178,-1.62911
06:41.9,-2.745,-2.76766,-2.02429,-1.70794,-1.07679,-1.54765
05:54.4,-2.61673,-2.622,-1.95682,-1.70794,-1.02012,-1.43904
05:05.5,-2.61673,-2.622,-1.92308,-1.70794,-0.99178,-1.4662
04:16.6,-2.61673,-2.622,-1.92308,-1.70794,-0.99178,-1.4662
03:25.5,-2.77065,-2.76766,-1.95682,-1.79334,-0.99178,-1.4662
02:38.9,-2.745,-2.8405,-1.95682,-1.79334,-1.02012,-1.60195
01:47.7,-2.745,-2.76766,-1.92308,-1.79334,-0.99178,-1.54765
00:57.7,-2.64238,-2.76766,-1.95682,-1.79334,-0.96345,-1.5205
00:07.2,-2.53976,-2.622,-1.82186,-1.45175,-0.79343,-1.41189
59:19.5,-2.53976,-2.622,-1.82186,-1.45175,-0.79343,-1.41189
58:28.7,-2.56542,-2.54916,-1.78812,-1.53715,-0.73675,-1.24898
57:37.1,-2.56542,-2.54916,-1.78812,-1.53715,-0.73675,-1.24898
56:47.2,-2.56542,-2.54916,-1.68691,-1.45175,-0.73675,-1.24898
55:58.8,-2.4628,-2.4035,-1.5857,-1.45175,-0.62341,-1.11322
55:08.8,-2.4628,-2.33066,-1.5857,-1.53715,-0.68008,-1.14037
54:20.4,-2.41149,-2.33066,-1.55196,-1.53715,-0.62341,-1.03177
53:33.8,-2.41149,-2.33066,-1.55196,-1.53715,-0.62341,-1.03177
52:41.8,-2.69369,-2.69483,-1.78812,-1.62254,-0.79343,-1.27613
51:51.6,-2.69369,-2.69483,-1.8556,-1.70794,-0.8501,-1.41189
51:04.4,-2.69369,-2.76766,-1.88934,-1.70794,-0.87844,-1.43904
50:16.5,-2.69369,-2.76766,-1.88934,-1.70794,-0.87844,-1.43904
49:25.2,-2.66803,-2.76766,-1.82186,-1.70794,-0.87844,-1.38474
48:33.7,-2.77065,-2.8405,-1.88934,-1.79334,-0.93511,-1.43904
47:47.0,-2.79631,-2.91333,-1.95682,-1.79334,-0.99178,-1.49335
46:56.8,-2.84761,-2.8405,-1.95682,-1.79334,-0.99178,-1.49335
46:06.8,-2.82196,-2.98616,-1.99055,-1.79334,-1.02012,-1.54765
45:18.6,-2.82196,-2.8405,-2.02429,-1.70794,-1.04846,-1.43904
44:31.1,-2.82196,-2.8405,-2.02429,-1.70794,-1.04846,-1.43904
43:41.2,-3.00154,-2.69483,-1.99055,-1.79334,-1.02012,-1.35759
42:49.9,-3.00154,-2.69483,-1.95682,-1.79334,-0.96345,-1.41189
42:02.5,-3.00154,-2.91333,-2.05803,-1.87874,-1.10513,-1.5748
41:13.0,-3.05285,-2.98616,-2.15924,-1.96413,-1.1618,-1.71056
40:23.8,-3.12981,-3.05899,-2.22672,-1.96413,-1.1618,-1.68341
39:34.7,-3.10416,-2.98616,-2.15924,-1.87874,-1.13347,-1.5205
38:48.1,-3.10416,-2.98616,-2.15924,-1.87874,-1.13347,-1.5205
37:56.4,-3.10416,-3.13183,-2.2942,-2.04953,-1.24681,-1.76487
37:06.3,-3.05285,-3.13183,-2.32794,-2.04953,-1.24681,-1.79202
36:19.2,-3.05285,-3.13183,-2.32794,-2.04953,-1.24681,-1.79202
35:28.3,-3.10416,-3.20466,-2.36167,-2.04953,-1.27515,-1.79202
34:33.4,-3.10416,-3.20466,-2.36167,-2.04953,-1.27515,-1.79202
33:39.9,-3.15546,-3.20466,-2.42915,-2.22032,-1.30349,-1.81917
32:47.8,-3.23243,-3.20466,-2.46289,-2.30572,-1.3885,-1.95493
31:57.1,-3.20677,-3.20466,-2.46289,-2.30572,-1.3885,-1.92778
31:04.4,-3.33504,-3.35033,-2.49663,-2.30572,-1.44517,-2.09069
30:03.7,-3.33504,-3.35033,-2.49663,-2.30572,-1.41683,-2.11784
29:09.9,-3.33504,-3.35033,-2.49663,-2.30572,-1.3885,-2.17214
28:19.0,-3.54028,-3.27749,-2.46289,-2.30572,-1.44517,-2.14499
27:28.2,-3.54028,-3.42316,-2.63158,-2.47652,-1.50184,-2.2536
26:34.0,-3.54028,-3.42316,-2.63158,-2.47652,-1.55852,-2.38936
25:39.2,-3.64289,-3.49599,-2.69906,-2.56191,-1.55852,-2.3079
24:48.6,-3.64289,-3.49599,-2.63158,-2.56191,-1.58685,-2.2536
23:58.8,-3.64289,-3.49599,-2.63158,-2.56191,-1.58685,-2.2536
22:57.7,-3.79682,-3.49599,-2.69906,-2.64731,-1.67186,-2.38936
22:01.7,-3.79682,-3.64166,-2.76653,-2.64731,-1.75687,-2.49796
21:06.6,-3.79682,-3.71449,-2.80027,-2.64731,-1.78521,-2.49796
20:11.0,-3.66855,-3.56883,-2.66532,-2.64731,-1.67186,-2.28075
19:02.8,-3.51462,-3.42316,-2.5641,-2.39112,-1.53018,-2.19929
17:07.8,-3.48897,-3.42316,-2.49663,-2.39112,-1.55852,-2.11784
13:42.8,-3.41201,-3.27749,-2.46289,-2.30572,-1.44517,-2.09069
11:23.1,-3.25808,-3.13183,-2.32794,-2.30572,-1.30349,-1.81917
08:56.0,-3.46331,-3.35033,-2.5641,-2.47652,-1.47351,-2.22645
06:41.6,-3.43766,-3.42316,-2.59784,-2.47652,-1.44517,-2.22645
04:46.7,-3.54028,-3.42316,-2.53036,-2.47652,-1.44517,-2.17214
02:26.2,-3.77116,-3.64166,-2.76653,-2.73271,-1.72853,-2.52512
00:08.3,-3.89944,-3.71449,-2.83401,-2.8181,-1.78521,-2.63372
58:06.2,-3.92509,-3.71449,-2.86775,-2.9035,-1.81354,-2.68803
56:11.8,-3.79682,-3.71449,-2.83401,-2.73271,-1.75687,-2.60657
54:05.0,-3.61724,-3.71449,-2.80027,-2.73271,-1.67186,-2.52512
51:40.8,-3.64289,-3.56883,-2.90148,-2.73271,-1.64353,-2.60657
49:35.4,-3.59159,-3.56883,-2.80027,-2.73271,-1.61519,-2.55227
47:36.0,-3.59159,-3.71449,-2.76653,-2.73271,-1.58685,-2.52512
45:26.7,-3.64289,-3.71449,-2.69906,-2.73271,-1.61519,-2.41651
43:36.0,-3.66855,-3.64166,-2.80027,-2.64731,-1.58685,-2.44366
41:36.5,-3.38635,-3.49599,-2.59784,-2.47652,-1.44517,-2.3079
39:53.4,-3.33504,-3.49599,-2.5641,-2.39112,-1.3885,-2.14499
38:28.8,-3.23243,-3.35033,-2.46289,-2.30572,-1.36016,-2.09069
37:04.5,-3.23243,-3.20466,-2.42915,-2.30572,-1.33182,-1.98208
35:42.5,-3.20677,-3.20466,-2.39541,-2.30572,-1.36016,-1.84632
34:20.1,-3.30939,-3.35033,-2.49663,-2.30572,-1.44517,-2.09069
33:09.1,-3.25808,-3.27749,-2.46289,-2.30572,-1.41683,-2.00923
31:59.6,-3.28374,-3.27749,-2.46289,-2.22032,-1.44517,-1.98208
30:51.7,-3.15546,-2.98616,-2.32794,-2.13493,-1.3885,-1.79202
29:50.1,-3.10416,-2.91333,-2.26046,-2.13493,-1.33182,-1.73771
28:49.2,-3.05285,-2.91333,-2.22672,-2.04953,-1.33182,-1.71056
27:45.5,-3.05285,-2.91333,-2.26046,-2.04953,-1.33182,-1.73771
26:48.5,-3.05285,-2.8405,-2.26046,-2.13493,-1.36016,-1.71056
25:56.7,-3.15546,-2.91333,-2.2942,-2.13493,-1.41683,-1.76487
25:02.9,-3.20677,-2.91333,-2.22672,-2.13493,-1.33182,-1.73771
24:09.9,-3.20677,-2.91333,-2.2942,-2.13493,-1.36016,-1.79202
23:11.5,-3.15546,-2.76766,-2.22672,-1.96413,-1.27515,-1.60195
22:18.1,-2.89892,-2.622,-2.09177,-1.96413,-1.10513,-1.49335
21:30.8,-2.89892,-2.69483,-2.09177,-1.96413,-1.10513,-1.5205
20:36.8,-2.89892,-2.69483,-2.12551,-1.96413,-1.10513,-1.5205
19:45.4,-2.89892,-2.69483,-2.15924,-1.96413,-1.10513,-1.5205
