Period,Alaska Air Group Inc Price,American Airlines Group Inc Price,Delta Air Lines Inc Price,JetBlue Airways Corp Price,Southwest Airlines Co Price,United Airlines Holdings Inc Price
8/11/2020 16:00:00,38.98,13.73,29.64,11.71,35.29,36.83
8/12/2020 9:30:39,39.5,14.03,30.04,11.92,36.01,37.55
8/12/2020 9:31:22,39.3,13.82,29.89,11.83,35.97,37.25
8/12/2020 9:32:04,39.3,13.82,29.89,11.83,35.97,37.25
8/12/2020 9:32:46,39.26,13.79,29.77,11.79,35.83,37.2
8/12/2020 9:33:32,39.32,13.79,29.79,11.81,35.72,37.08
8/12/2020 9:35:26,39.58,13.92,30.01,11.81,35.89,37.35
8/12/2020 9:36:11,39.6,13.98,30.03,11.88,35.89,37.46
8/12/2020 9:37:06,39.6,13.96,30.03,11.9,35.9,37.46
8/12/2020 9:37:53,39.46,13.87,29.93,11.84,35.69,37.3
8/12/2020 9:38:36,39.54,13.93,30.05,11.87,35.76,37.44
8/12/2020 9:39:21,39.66,13.97,30.13,11.89,35.84,37.54
8/12/2020 9:40:09,39.7,13.92,30.11,11.88,35.76,37.49
8/12/2020 9:40:55,39.49,13.9,30.1,11.84,35.7,37.4
8/12/2020 9:41:40,39.49,13.9,30.1,11.84,35.7,37.4
8/12/2020 9:42:25,39.54,13.97,30.2,11.87,35.76,37.52
8/12/2020 9:43:08,39.54,13.94,30.15,11.85,35.78,37.43
8/12/2020 9:43:53,39.5,13.91,30.1,11.87,35.75,37.35
8/12/2020 9:44:38,39.5,13.92,30.13,11.86,35.82,37.39
8/12/2020 9:45:22,39.5,13.93,30.14,11.88,35.86,37.42
8/12/2020 9:46:07,39.64,13.98,30.2,11.91,35.92,37.55
8/12/2020 9:47:12,39.4,13.82,29.92,11.82,35.69,37.16
8/12/2020 9:47:59,39.34,13.84,29.9,11.82,35.68,37.12
8/12/2020 9:48:47,39.25,13.84,29.86,11.8,35.65,37.02
8/12/2020 9:49:35,39.2,13.78,29.8,11.79,35.6,36.92
8/12/2020 9:50:23,39.2,13.78,29.8,11.78,35.6,36.88
8/12/2020 9:51:09,39.18,13.75,29.78,11.77,35.56,36.8
8/12/2020 9:51:57,39.06,13.75,29.77,11.77,35.54,36.82
8/12/2020 9:52:47,38.89,13.63,29.59,11.7,35.39,36.54
8/12/2020 9:53:34,38.71,13.6,29.53,11.67,35.33,36.45
8/12/2020 9:54:22,38.7,13.64,29.54,11.7,35.32,36.49
8/12/2020 9:55:08,38.7,13.64,29.54,11.7,35.32,36.49
8/12/2020 9:55:53,38.7,13.64,29.56,11.68,35.37,36.58
8/12/2020 9:56:40,38.81,13.71,29.7,11.73,35.49,36.85
8/12/2020 9:57:28,38.88,13.81,29.8,11.77,35.54,36.98
8/12/2020 9:58:14,38.88,13.79,29.81,11.77,35.53,37.01
8/12/2020 9:58:59,38.88,13.79,29.81,11.77,35.53,37.01
8/12/2020 9:59:48,38.74,13.73,29.74,11.73,35.5,36.94
8/12/2020 10:00:35,38.83,13.74,29.7,11.73,35.45,36.94
8/12/2020 10:01:19,38.83,13.74,29.7,11.73,35.45,36.94
8/12/2020 10:02:04,38.76,13.73,29.64,11.71,35.39,36.85
8/12/2020 10:02:49,38.73,13.67,29.61,11.68,35.31,36.76
8/12/2020 10:03:34,38.69,13.65,29.57,11.67,35.3,36.74
8/12/2020 10:04:20,38.69,13.65,29.57,11.67,35.3,36.74
8/12/2020 10:05:05,38.73,13.69,29.62,11.69,35.37,36.83
8/12/2020 10:05:50,38.85,13.73,29.66,11.73,35.46,36.96
8/12/2020 10:06:37,38.85,13.71,29.68,11.69,35.46,36.93
8/12/2020 10:07:26,38.96,13.76,29.76,11.74,35.6,37.1
8/12/2020 10:08:10,38.91,13.78,29.75,11.74,35.57,37.08
8/12/2020 10:08:58,38.96,13.77,29.74,11.75,35.58,37.1
8/12/2020 10:09:46,38.91,13.76,29.68,11.73,35.5,37.07
8/12/2020 10:10:33,38.96,13.75,29.67,11.73,35.52,37.07
8/12/2020 10:11:19,38.96,13.75,29.67,11.73,35.52,37.07
8/12/2020 10:12:07,38.95,13.79,29.71,11.73,35.58,37.11
8/12/2020 10:12:55,39,13.82,29.75,11.76,35.59,37.19
8/12/2020 10:13:41,38.98,13.8,29.69,11.74,35.55,37.09
8/12/2020 10:14:29,38.98,13.8,29.69,11.74,35.55,37.09
8/12/2020 10:15:18,39.03,13.81,29.69,11.73,35.56,37.08
8/12/2020 10:16:03,39.01,13.78,29.7,11.72,35.55,37.1
8/12/2020 10:16:51,39.05,13.82,29.72,11.73,35.59,37.12
8/12/2020 10:17:39,38.94,13.79,29.65,11.71,35.49,36.98
8/12/2020 10:18:26,38.94,13.76,29.64,11.69,35.49,36.93
8/12/2020 10:19:11,39.08,13.81,29.69,11.71,35.56,36.98
8/12/2020 10:19:59,39.11,13.81,29.7,11.73,35.59,36.95
8/12/2020 10:20:49,39.15,13.83,29.72,11.74,35.61,37.06
8/12/2020 10:21:36,39.15,13.83,29.72,11.74,35.61,37.06
8/12/2020 10:22:25,39.25,13.88,29.81,11.77,35.7,37.15
8/12/2020 10:23:14,39.29,13.89,29.8,11.77,35.72,37.14
8/12/2020 10:24:01,39.32,13.89,29.83,11.77,35.74,37.18
8/12/2020 10:24:49,39.26,13.85,29.78,11.74,35.7,37.1
8/12/2020 10:25:38,39.3,13.88,29.83,11.75,35.74,37.17
8/12/2020 10:26:25,39.25,13.87,29.77,11.74,35.74,37.08
8/12/2020 10:27:12,39.19,13.79,29.72,11.72,35.68,36.99
8/12/2020 10:28:01,39.18,13.83,29.77,11.74,35.7,37.06
8/12/2020 10:28:48,39.13,13.81,29.77,11.73,35.67,37.04
8/12/2020 10:29:34,39.09,13.79,29.69,11.71,35.58,36.95
8/12/2020 10:30:23,39.09,13.79,29.69,11.71,35.58,36.95
8/12/2020 10:31:12,39.08,13.8,29.71,11.72,35.63,36.98
